Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
2016,AL West,74,88,4,4.43,162,6038,5431,717,1410,279,20,156,686,73,34,471,991,.260,.322,.405,.726,97,148,.983,28.5
2015,AL West,85,77,3,4.08,162,5990,5417,661,1331,243,21,176,621,52,34,435,1150,.246,.307,.396,.702,93,108,.984,28.6
2014,AL West,98,64,1,4.77,162,6285,5652,773,1464,304,31,155,729,81,39,492,1266,.259,.322,.406,.728,83,127,.986,29.3
2013,AL West,78,84,3,4.52,162,6260,5588,733,1476,270,39,164,696,82,34,523,1221,.264,.329,.414,.743,112,135,.981,27.8
2012,AL West,89,73,3,4.73,162,6121,5536,767,1518,273,22,187,732,134,33,449,1113,.274,.332,.433,.764,98,141,.984,28.8
2011,AL West,86,76,2,4.12,162,6088,5513,667,1394,289,34,155,629,135,52,442,1086,.253,.313,.402,.714,93,157,.985,28.9
2010,AL West,80,82,3,4.20,162,6089,5488,681,1363,276,19,155,656,104,52,466,1070,.248,.311,.390,.702,113,116,.981,29.6
2009,AL West,97,65,1,5.45,162,6305,5622,883,1604,293,33,173,841,148,63,547,1054,.285,.350,.441,.792,85,174,.986,29.6
2008,AL West,100,62,1,4.72,162,6155,5540,765,1486,274,25,159,721,129,48,481,987,.268,.330,.413,.743,91,159,.985,28.9
2007,AL West,94,68,1,5.07,162,6198,5554,822,1578,324,23,123,776,139,55,507,883,.284,.345,.417,.762,101,154,.983,28.6
2006,AL West,89,73,2,4.73,162,6221,5609,766,1539,309,29,159,737,148,57,486,914,.274,.334,.425,.759,124,154,.979,28.8
2005,AL West,95,67,1,4.70,162,6186,5624,761,1520,278,30,147,726,161,57,447,848,.270,.325,.409,.734,87,139,.986,29.7
2004,AL West,92,70,1,5.16,162,6296,5675,836,1603,272,37,162,783,143,46,450,942,.282,.341,.429,.770,90,126,.985,28.9
2003,AL West,77,85,3,4.54,162,6119,5487,736,1473,276,33,150,687,129,61,476,838,.268,.330,.413,.743,105,138,.982,29.1
2002,AL West,99,63,2,5.25,162,6327,5678,851,1603,333,32,152,811,117,51,462,805,.282,.341,.433,.773,87,151,.986,28.5
2001,AL West,75,87,3,4.27,162,6226,5551,691,1447,275,26,158,662,116,52,494,1001,.261,.327,.405,.732,103,142,.983,28.0
2000,AL West,82,80,3,5.33,162,6373,5628,864,1574,309,34,236,837,93,52,608,1024,.280,.352,.472,.825,134,182,.979,27.7
1999,AL West,70,92,4,4.39,162,6132,5494,711,1404,248,22,158,673,71,45,511,1022,.256,.322,.395,.716,106,156,.983,28.8
1998,AL West,85,77,2,4.86,162,6280,5630,787,1530,314,27,147,739,93,45,510,1028,.272,.335,.415,.751,106,146,.983,28.7
1997,AL West,84,78,2,5.12,162,6387,5628,829,1531,279,25,161,775,126,72,617,953,.272,.346,.416,.762,123,140,.980,29.7
1996,AL West,70,91,4,4.73,161,6320,5686,762,1571,256,24,192,727,53,39,527,974,.276,.339,.431,.770,128,156,.979,29.3
1995,AL West,78,67,2,5.52,145,5690,5019,801,1390,252,25,186,761,58,39,564,889,.277,.352,.448,.800,95,120,.982,29.0
1994,AL West,47,68,4,4.72,115,4443,3943,543,1042,178,16,120,518,65,54,402,715,.264,.334,.409,.743,76,110,.983,27.8
1993,AL West,71,91,5,4.22,162,6089,5391,684,1399,259,24,114,644,169,100,564,930,.260,.331,.380,.711,120,161,.980,27.3
1992,AL West,72,90,5,3.57,162,5917,5364,579,1306,202,20,88,537,160,101,416,882,.243,.301,.338,.638,134,172,.979,28.1
1991,AL West,81,81,7,4.03,162,6050,5470,653,1396,245,29,115,607,94,56,448,928,.255,.314,.374,.688,102,156,.984,30.8
1990,AL West,80,82,4,4.26,162,6267,5570,690,1448,237,27,147,646,69,43,566,1000,.260,.329,.391,.720,142,186,.978,29.8
1989,AL West,91,71,3,4.13,162,6102,5545,669,1422,208,37,145,624,89,40,429,1011,.256,.311,.386,.696,96,173,.985,29.8
1988,AL West,75,87,4,4.41,162,6215,5582,714,1458,258,31,124,660,86,52,469,819,.261,.321,.385,.706,135,175,.979,29.5
1987,AL West,75,87,6,4.75,162,6301,5570,770,1406,257,26,172,709,125,44,590,926,.252,.326,.401,.726,117,162,.981,29.4
1986,AL West,92,70,1,4.85,162,6297,5433,786,1387,236,36,167,743,109,42,671,860,.255,.338,.404,.742,107,156,.983,31.7
1985,AL West,90,72,2,4.52,162,6263,5442,732,1364,215,31,153,685,106,51,648,902,.251,.333,.386,.719,112,202,.982,32.1
1984,AL West,81,81,2,4.30,162,6166,5470,696,1363,211,30,150,649,80,51,556,928,.249,.319,.381,.700,128,170,.980,31.7
1983,AL West,70,92,5,4.46,162,6294,5640,722,1467,241,22,154,682,41,39,509,835,.260,.322,.393,.715,154,190,.977,31.4
1982,AL West,93,69,1,5.02,162,6350,5532,814,1518,268,26,186,760,55,53,613,760,.274,.347,.433,.780,108,171,.983,32.3
1981,AL West,51,59,5,4.33,110,4191,3688,476,944,134,16,97,439,44,33,393,571,.256,.330,.380,.710,101,120,.977,30.5
1980,AL West,65,95,6,4.36,160,6134,5443,698,1442,236,32,106,655,91,63,539,889,.265,.332,.378,.710,134,144,.978,29.0
1979,AL West,88,74,1,5.35,162,6311,5550,866,1563,242,43,164,808,100,53,589,843,.282,.351,.429,.781,135,172,.978,28.3
1978,AL West,87,75,2,4.27,162,6206,5472,691,1417,226,28,108,646,86,69,539,682,.259,.330,.370,.700,136,136,.978,27.8
1977,AL West,74,88,5,4.17,162,6113,5410,675,1380,233,40,131,636,159,89,542,880,.255,.324,.386,.710,147,137,.976,26.5
1976,AL West,76,86,4,3.40,162,6104,5385,550,1265,210,23,63,511,126,80,534,812,.235,.306,.318,.624,150,139,.977,26.7
1975,AL West,72,89,6,3.90,161,6142,5377,628,1324,195,41,55,572,220,108,593,811,.246,.322,.328,.650,184,164,.971,25.6
1974,AL West,68,94,6,3.79,163,6085,5401,618,1372,203,31,95,550,119,79,509,801,.254,.321,.356,.677,147,150,.976,27.6
1973,AL West,79,83,4,3.88,162,6153,5505,629,1395,183,29,93,595,59,47,509,816,.253,.318,.348,.666,156,153,.975,29.7
1972,AL West,75,80,5,2.93,155,5640,5165,454,1249,171,26,78,420,57,37,358,850,.242,.293,.330,.623,114,135,.981,29.1
1971,AL West,76,86,4,3.15,162,6079,5495,511,1271,213,18,96,476,72,34,441,827,.231,.290,.329,.619,131,159,.980,27.7
1970,AL West,86,76,3,3.90,162,6115,5532,631,1391,197,40,114,598,69,27,447,922,.251,.309,.363,.672,127,169,.980,26.6
1969,AL West,71,91,3,3.24,163,5983,5316,528,1221,151,29,88,480,54,39,516,929,.230,.300,.319,.618,136,164,.978,26.1
1968,AL,67,95,8,3.07,162,5943,5331,498,1209,170,33,83,453,62,50,447,1080,.227,.291,.318,.609,140,156,.977,27.5
1967,AL,84,77,5,3.52,161,5901,5307,567,1265,170,37,114,524,40,36,453,1021,.238,.301,.349,.650,111,135,.982,27.1
1966,AL,80,82,6,3.73,162,6038,5360,604,1244,179,54,122,562,80,54,525,1062,.232,.303,.354,.657,136,186,.979,26.3
1965,AL,75,87,7,3.25,162,5957,5354,527,1279,200,36,92,486,107,57,443,973,.239,.297,.341,.639,123,149,.981,26.4
1964,AL,82,80,5,3.36,162,5975,5362,544,1297,186,27,102,508,49,39,472,920,.242,.304,.344,.648,138,168,.978,27.3
1963,AL,70,91,9,3.71,161,6127,5506,597,1378,208,38,95,551,43,30,448,916,.250,.309,.354,.663,163,155,.974,27.4
1962,AL,86,76,3,4.43,162,6256,5499,718,1377,232,35,137,667,46,27,602,917,.250,.325,.380,.705,175,153,.973,27.7
1961,AL,70,91,8,4.59,162,6252,5424,744,1331,218,22,189,700,37,28,681,1068,.245,.331,.398,.729,192,154,.969,28.2
