Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
2016,NL East,68,93,5,4.03,161,6191,5514,649,1404,295,27,122,615,75,34,502,1240,.255,.321,.384,.705,101,134,.983,28.9
2015,NL East,67,95,4,3.54,162,6034,5420,573,1361,251,18,100,548,69,33,471,1107,.251,.314,.359,.674,90,186,.985,28.8
2014,NL East,79,83,2,3.54,162,6064,5468,573,1316,240,22,123,545,95,33,472,1369,.241,.305,.360,.665,85,143,.986,26.8
2013,NL East,96,66,1,4.25,162,6133,5441,688,1354,247,21,181,656,64,31,542,1384,.249,.321,.402,.723,85,141,.986,26.8
2012,NL East,94,68,2,4.32,162,6126,5425,700,1341,263,30,149,660,101,32,567,1289,.247,.320,.389,.709,86,147,.986,28.5
2011,NL East,89,73,2,3.96,162,6169,5528,641,1345,244,16,173,606,77,44,504,1260,.243,.308,.387,.695,83,131,.987,28.9
2010,NL East,91,71,2,4.56,162,6252,5463,738,1411,312,25,139,699,63,29,634,1140,.258,.339,.401,.740,126,166,.980,28.6
2009,NL East,86,76,3,4.54,162,6335,5539,735,1459,300,20,149,700,58,26,602,1064,.263,.339,.405,.744,96,159,.985,28.8
2008,NL East,72,90,4,4.65,162,6368,5604,753,1514,316,33,130,721,58,27,618,1023,.270,.345,.408,.753,107,149,.983,27.2
2007,NL East,84,78,3,5.00,162,6374,5689,810,1562,328,27,176,781,64,30,534,1149,.275,.339,.435,.774,107,141,.983,27.7
2006,NL East,79,83,3,5.24,162,6284,5583,849,1510,312,26,222,818,52,35,526,1169,.270,.337,.455,.791,99,146,.984,27.5
2005,NL East,90,72,1,4.75,162,6186,5486,769,1453,308,37,184,733,92,32,534,1084,.265,.333,.435,.768,86,170,.986,28.1
2004,NL East,96,66,1,4.96,162,6339,5570,803,1503,304,37,178,767,86,32,587,1158,.270,.343,.434,.777,116,171,.982,28.9
2003,NL East,101,61,1,5.60,162,6378,5670,907,1608,321,31,235,872,68,22,545,933,.284,.349,.475,.824,121,166,.981,30.3
2002,NL East,101,59,1,4.40,161,6224,5495,708,1428,280,25,164,669,76,39,558,1028,.260,.331,.409,.741,114,170,.982,30.6
2001,NL East,88,74,1,4.50,162,6152,5498,729,1432,263,24,174,696,85,46,493,1039,.260,.324,.412,.736,103,133,.983,30.3
2000,NL East,95,67,1,5.00,162,6275,5489,810,1490,274,26,179,758,148,56,595,1010,.271,.346,.429,.775,129,138,.979,30.7
1999,NL East,103,59,1,5.19,162,6351,5569,840,1481,309,23,197,791,148,66,608,962,.266,.341,.436,.777,111,127,.982,29.6
1998,NL East,106,56,1,5.10,162,6217,5484,826,1489,297,26,215,794,98,43,548,1062,.272,.342,.453,.795,91,139,.985,28.9
1997,NL East,101,61,1,4.88,162,6315,5528,791,1490,268,37,174,755,108,58,597,1160,.270,.343,.426,.769,114,136,.982,27.9
1996,NL East,96,66,1,4.77,162,6293,5614,773,1514,264,28,197,735,83,43,530,1032,.270,.333,.432,.765,130,143,.980,27.9
