Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
2016,NL Central,103,58,1,4.99,162,6334,5503,808,1409,293,30,199,767,66,34,656,1339,.256,.343,.429,.772,101,116,.984,27.5
2015,NL Central,97,65,3,4.25,162,6200,5491,689,1341,272,30,171,657,95,37,567,1518,.244,.321,.398,.719,111,120,.982,26.9
2014,NL Central,73,89,5,3.79,162,6102,5508,614,1315,270,31,157,590,65,40,442,1477,.239,.300,.385,.684,103,137,.983,26.8
2013,NL Central,66,96,5,3.72,162,6079,5498,602,1307,297,18,172,576,63,32,439,1230,.238,.300,.392,.693,100,129,.984,27.9
2012,NL Central,61,101,5,3.78,162,5967,5411,613,1297,265,36,137,570,94,45,447,1235,.240,.302,.378,.680,105,148,.982,27.8
2011,NL Central,71,91,5,4.04,162,6130,5549,654,1423,285,36,148,610,69,23,425,1202,.256,.314,.401,.715,134,128,.978,29.3
2010,NL Central,75,87,5,4.23,162,6140,5512,685,1414,298,27,149,658,55,31,479,1236,.257,.320,.401,.721,126,137,.979,29.4
2009,NL Central,83,78,2,4.39,161,6244,5486,707,1398,293,29,161,678,56,34,592,1185,.255,.332,.407,.738,105,144,.983,29.9
2008,NL Central,97,64,1,5.31,161,6384,5588,855,1552,329,21,184,811,87,34,636,1186,.278,.354,.443,.797,99,118,.983,30.1
2007,NL Central,85,77,1,4.64,162,6268,5643,752,1530,340,28,151,711,86,33,500,1054,.271,.333,.422,.754,94,134,.984,29.3
2006,NL Central,66,96,6,4.42,162,6147,5587,716,1496,271,46,166,677,121,49,395,928,.268,.319,.422,.741,106,122,.982,28.6
2005,NL Central,79,83,4,4.34,162,6161,5584,703,1506,323,23,194,674,65,39,419,920,.270,.324,.440,.764,101,136,.983,29.7
2004,NL Central,89,73,3,4.87,162,6281,5628,789,1508,308,29,235,755,66,28,489,1080,.268,.328,.458,.786,86,126,.986,30.1
2003,NL Central,88,74,1,4.47,162,6187,5519,724,1431,302,24,172,691,73,31,492,1158,.259,.323,.416,.739,106,157,.983,31.3
2002,NL Central,67,95,5,4.36,162,6242,5496,706,1351,259,29,200,676,63,21,585,1269,.246,.321,.413,.734,114,144,.981,30.2
2001,NL Central,88,74,3,4.80,162,6219,5406,777,1409,268,32,194,748,67,36,577,1077,.261,.336,.430,.766,109,113,.982,30.7
2000,NL Central,65,97,6,4.72,162,6397,5577,764,1426,272,23,183,722,93,37,632,1120,.256,.335,.411,.746,100,139,.983,30.8
1999,NL Central,67,95,6,4.61,162,6201,5482,747,1411,255,35,189,717,60,44,571,1170,.257,.329,.420,.749,139,135,.977,31.2
1998,NL Central,90,73,2,5.10,163,6394,5649,831,1494,250,34,212,788,65,44,601,1223,.264,.337,.433,.771,101,107,.984,30.1
1997,NL Central,68,94,5,4.24,162,6098,5489,687,1444,269,39,127,642,116,60,451,1003,.263,.321,.396,.717,112,117,.981,29.4
1996,NL Central,76,86,4,4.77,162,6229,5531,772,1388,267,19,175,725,108,50,523,1090,.251,.320,.401,.721,104,147,.983,29.0
1995,NL Central,73,71,3,4.81,144,5543,4963,693,1315,267,39,158,648,105,37,440,953,.265,.327,.430,.757,115,115,.979,28.3
1994,NL Central,49,64,5,4.42,113,4386,3918,500,1015,189,26,109,464,69,53,364,750,.259,.325,.404,.729,81,110,.982,28.2
1993,NL East,84,78,4,4.53,163,6217,5627,738,1521,259,32,161,706,100,43,446,923,.270,.325,.414,.739,115,162,.982,28.0
1992,NL East,78,84,4,3.66,162,6156,5590,593,1420,221,41,104,566,77,51,417,816,.254,.307,.364,.671,114,142,.982,28.3
1991,NL East,77,83,4,4.34,160,6130,5522,695,1395,232,26,159,654,123,64,442,879,.253,.309,.390,.700,113,120,.982,28.9
1990,NL East,77,85,4,4.26,162,6149,5600,690,1474,240,36,136,649,151,50,406,869,.263,.314,.392,.706,124,136,.980,28.2
1989,NL East,93,69,1,4.33,162,6141,5513,702,1438,235,45,124,653,136,57,472,921,.261,.319,.387,.707,124,130,.980,27.7
1988,NL East,77,85,4,4.05,163,6203,5675,660,1481,262,46,113,612,120,46,403,910,.261,.310,.383,.693,125,128,.980,27.6
1987,NL East,76,85,6,4.47,161,6197,5583,720,1475,244,33,209,683,109,48,504,1064,.264,.326,.432,.758,130,154,.979,28.9
