Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
2016,NL West,69,93,4,4.64,162,6259,5665,752,1479,285,56,190,709,137,31,463,1427,.261,.320,.432,.752,101,143,.984,26.7
2015,NL West,79,83,3,4.44,162,6276,5649,720,1494,289,48,154,680,132,44,490,1312,.264,.324,.414,.738,86,146,.986,26.6
2014,NL West,64,98,5,3.80,162,6089,5552,615,1379,259,47,118,573,86,33,398,1165,.248,.302,.376,.678,101,147,.983,27.6
2013,NL West,81,81,2,4.23,162,6334,5676,685,1468,302,31,130,647,62,41,519,1142,.259,.323,.391,.715,75,135,.988,28.1
2012,NL West,81,81,3,4.53,162,6150,5462,734,1416,307,33,165,710,93,51,539,1266,.259,.328,.418,.746,90,146,.985,28.3
2011,NL West,94,68,1,4.51,162,6096,5421,731,1357,293,37,172,702,133,55,531,1249,.250,.322,.413,.736,90,131,.985,28.2
2010,NL West,65,97,5,4.40,162,6183,5473,713,1366,301,34,180,691,86,41,589,1529,.250,.325,.416,.740,102,152,.983,26.8
2009,NL West,70,92,5,4.44,162,6269,5565,720,1408,307,45,173,686,102,40,571,1298,.253,.324,.418,.742,124,133,.980,26.5
2008,NL West,82,80,2,4.44,162,6156,5409,720,1355,318,47,159,683,58,23,587,1287,.251,.327,.415,.742,113,137,.981,26.7
2007,NL West,90,72,1,4.40,162,6101,5398,712,1350,286,40,171,687,109,24,532,1111,.250,.321,.413,.734,106,157,.983,26.6
2006,NL West,76,86,4,4.77,162,6330,5645,773,1506,331,38,160,743,76,30,504,965,.267,.331,.424,.755,104,172,.983,29.6
2005,NL West,77,85,2,4.30,162,6327,5550,696,1419,291,27,191,670,67,26,606,1094,.256,.332,.421,.754,94,159,.985,30.3
2004,NL West,51,111,5,3.80,162,6114,5544,615,1401,295,38,135,582,53,32,441,1022,.253,.310,.393,.703,139,144,.977,28.9
2003,NL West,84,78,3,4.43,162,6261,5570,717,1467,303,47,152,696,76,38,531,1006,.263,.330,.417,.746,107,132,.983,30.6
2002,NL West,98,64,1,5.06,162,6318,5508,819,1471,283,41,165,783,92,46,643,1016,.267,.346,.423,.769,89,116,.985,31.7
2001,NL West,92,70,1,5.05,162,6349,5595,818,1494,284,35,208,776,71,38,587,1052,.267,.341,.442,.783,84,148,.986,31.9
2000,NL West,85,77,3,4.89,162,6241,5527,792,1466,282,44,179,756,97,44,535,975,.265,.333,.429,.763,107,138,.982,30.8
1999,NL West,100,62,1,5.60,162,6415,5658,908,1566,289,46,216,865,137,39,588,1045,.277,.347,.459,.805,104,132,.983,30.0
1998,NL West,65,97,5,4.10,162,6116,5491,665,1353,235,46,159,621,73,38,489,1239,.246,.314,.393,.707,100,125,.984,27.8
