Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
2016,NL West,91,71,1,4.48,162,6163,5518,725,1376,272,21,189,680,45,26,525,1321,.249,.319,.409,.728,80,101,.986,28.9
2015,NL West,92,70,1,4.12,162,6090,5385,667,1346,263,26,187,638,59,34,563,1258,.250,.326,.413,.739,75,133,.988,29.5
2014,NL West,94,68,1,4.43,162,6231,5560,718,1476,302,38,134,686,138,50,519,1246,.265,.333,.406,.738,107,145,.983,29.3
2013,NL West,92,70,1,4.01,162,6145,5491,649,1447,281,17,138,618,78,28,476,1146,.264,.326,.396,.722,109,160,.982,30.6
2012,NL West,86,76,2,3.93,162,6091,5438,637,1369,269,23,116,607,104,44,481,1156,.252,.317,.374,.690,98,138,.984,30.4
2011,NL West,82,79,3,4.00,161,6094,5436,644,1395,237,28,117,613,126,40,498,1087,.257,.322,.375,.697,85,121,.986,29.8
2010,NL West,80,82,4,4.12,162,6140,5426,667,1368,270,29,120,621,92,50,533,1184,.252,.322,.379,.700,98,124,.984,30.2
2009,NL West,95,67,1,4.81,162,6385,5592,780,1511,278,39,145,739,116,48,607,1068,.270,.346,.412,.758,83,134,.986,29.7
2008,NL West,84,78,1,4.32,162,6194,5506,700,1455,271,29,137,659,126,43,543,1032,.264,.333,.399,.732,101,138,.984,28.5
2007,NL West,82,80,4,4.54,162,6282,5614,735,1544,276,35,129,706,137,50,511,864,.275,.337,.406,.743,114,160,.981,29.7
2006,NL West,88,74,2,5.06,162,6394,5628,820,1552,307,58,153,787,128,49,601,959,.276,.348,.432,.781,115,174,.982,29.9
2005,NL West,71,91,4,4.23,162,6134,5433,685,1374,284,21,149,653,58,35,541,1094,.253,.326,.395,.721,106,141,.983,28.7
2004,NL West,93,69,1,4.70,162,6244,5542,761,1450,226,30,203,731,102,41,536,1092,.262,.332,.423,.755,73,145,.988,28.9
2003,NL West,85,77,2,3.54,162,6036,5458,574,1328,260,25,124,544,80,36,407,985,.243,.303,.368,.671,119,164,.981,29.9
2002,NL West,92,70,3,4.40,162,6146,5554,713,1464,286,29,155,693,96,37,428,940,.264,.320,.409,.729,90,134,.985,30.0
2001,NL West,86,76,3,4.68,162,6169,5493,758,1399,264,27,206,714,89,42,519,1062,.255,.323,.425,.748,116,138,.981,30.2
2000,NL West,86,76,2,4.93,162,6312,5481,798,1408,265,28,211,756,95,42,668,1083,.257,.341,.431,.771,135,151,.978,29.6
1999,NL West,77,85,3,4.90,162,6338,5567,793,1480,253,23,187,761,167,68,594,1030,.266,.339,.420,.760,137,137,.978,29.2
1998,NL West,83,79,3,4.13,162,6077,5459,669,1374,209,27,159,630,137,53,447,1056,.252,.310,.387,.698,134,154,.978,28.3
1997,NL West,88,74,2,4.58,162,6216,5544,742,1488,242,33,174,706,131,64,498,1079,.268,.330,.418,.748,116,104,.981,29.3
1996,NL West,90,72,2,4.34,162,6185,5538,703,1396,215,33,150,661,124,40,516,1190,.252,.316,.384,.701,125,143,.980,27.9
1995,NL West,78,66,1,4.40,144,5544,4942,634,1303,191,31,140,593,127,45,468,1023,.264,.329,.400,.729,130,120,.976,27.4
1994,NL West,58,56,1,4.67,114,4371,3904,532,1055,160,29,115,505,74,37,366,687,.270,.333,.414,.748,88,104,.980,28.7
1993,NL West,81,81,4,4.17,162,6261,5588,675,1458,234,28,130,639,126,61,492,937,.261,.321,.383,.704,133,141,.979,28.8
1992,NL West,63,99,6,3.38,162,6038,5368,548,1333,201,34,72,499,142,78,503,899,.248,.313,.339,.652,174,136,.972,28.4
