Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
2016,AL Central,94,67,1,4.83,161,6155,5484,777,1435,308,29,185,733,134,31,531,1246,.262,.329,.430,.759,89,126,.985,29.0
2015,AL Central,81,80,3,4.16,161,6109,5439,669,1395,303,29,141,640,86,28,533,1157,.256,.325,.401,.725,79,136,.987,28.0
2014,AL Central,85,77,3,4.13,162,6222,5575,669,1411,284,23,142,644,104,27,504,1189,.253,.317,.389,.706,116,139,.981,28.5
2013,AL Central,92,70,2,4.60,162,6165,5465,745,1391,290,23,171,711,117,36,562,1283,.255,.327,.410,.737,98,135,.984,28.6
2012,AL Central,68,94,4,4.12,162,6195,5525,667,1385,266,24,136,635,110,44,555,1087,.251,.324,.381,.705,96,157,.984,27.8
2011,AL Central,80,82,2,4.35,162,6142,5509,704,1380,290,26,154,671,89,42,494,1269,.250,.317,.396,.714,110,130,.982,27.8
2010,AL Central,69,93,4,3.99,162,6165,5487,646,1362,290,20,128,601,91,33,545,1184,.248,.322,.378,.700,110,179,.982,27.2
2009,AL Central,65,97,4,4.77,162,6320,5568,773,1468,314,28,161,730,84,31,582,1211,.264,.339,.417,.756,97,170,.984,27.4
2008,AL Central,81,81,3,4.97,162,6299,5543,805,1455,339,22,171,772,77,29,560,1213,.262,.339,.424,.763,94,182,.985,27.7
2007,AL Central,96,66,1,5.01,162,6367,5604,811,1504,305,27,178,784,72,41,590,1202,.268,.343,.428,.771,92,167,.985,28.1
2006,AL Central,78,84,4,5.37,162,6303,5619,870,1576,351,27,196,839,55,23,556,1204,.280,.349,.457,.806,118,165,.981,27.8
2005,AL Central,93,69,2,4.88,162,6255,5609,790,1522,337,30,207,760,62,36,503,1093,.271,.334,.453,.787,106,156,.983,27.7
2004,AL Central,80,82,3,5.30,162,6452,5676,858,1565,345,29,184,820,94,55,606,1009,.276,.351,.444,.795,106,152,.983,28.6
2003,AL Central,68,94,4,4.31,162,6188,5572,699,1413,296,26,158,660,86,61,466,1062,.254,.316,.401,.717,126,178,.980,27.1
2002,AL Central,74,88,3,4.56,162,6099,5423,739,1349,255,26,192,706,52,37,542,1000,.249,.321,.412,.733,113,161,.981,30.3
2001,AL Central,91,71,1,5.54,162,6357,5600,897,1559,294,37,212,868,79,41,577,1076,.278,.350,.458,.807,107,137,.982,31.0
2000,AL Central,90,72,2,5.86,162,6512,5683,950,1639,310,30,221,889,113,34,685,1057,.288,.367,.470,.837,72,147,.988,30.1
1999,AL Central,97,65,1,6.23,162,6554,5634,1009,1629,309,32,209,960,147,50,743,1099,.289,.373,.467,.840,106,154,.983,29.2
1998,AL Central,89,73,1,5.25,162,6376,5616,850,1530,334,30,198,811,143,60,630,1061,.272,.347,.448,.795,110,146,.982,29.5
1997,AL Central,86,75,1,5.39,161,6304,5556,868,1589,301,22,220,810,118,59,617,955,.286,.358,.467,.825,106,159,.983,30.2
1996,AL Central,99,62,1,5.91,161,6486,5681,952,1665,335,23,218,904,160,50,671,844,.293,.369,.475,.844,124,156,.980,29.7
1995,AL Central,100,44,1,5.83,144,5686,5028,840,1461,279,23,207,803,132,53,542,766,.291,.361,.479,.839,101,142,.982,29.0
1994,AL Central,66,47,2,6.01,113,4493,4022,679,1165,240,20,167,647,131,48,382,629,.290,.351,.484,.835,90,119,.980,28.4
1993,AL East,76,86,6,4.88,162,6267,5619,790,1547,264,31,141,747,159,55,488,843,.275,.335,.409,.743,148,174,.976,27.2
1992,AL East,76,86,4,4.16,162,6201,5620,674,1495,227,24,127,637,144,67,448,885,.266,.323,.383,.706,141,176,.978,25.9
1991,AL East,57,105,7,3.56,162,6070,5470,576,1390,236,26,79,546,84,58,449,888,.254,.313,.350,.663,149,150,.976,25.6
1990,AL East,77,85,4,4.52,162,6087,5485,732,1465,266,41,110,675,107,52,458,836,.267,.324,.391,.714,117,146,.981,27.4
1989,AL East,73,89,6,3.73,162,6111,5463,604,1340,221,26,127,567,74,51,499,934,.245,.310,.365,.675,118,126,.981,27.1
1988,AL East,78,84,6,4.11,162,6046,5505,666,1435,235,28,134,629,97,50,416,866,.261,.314,.387,.701,124,131,.980,28.1
1987,AL East,61,101,7,4.58,162,6212,5606,742,1476,267,30,187,691,140,54,489,977,.263,.324,.422,.745,153,128,.975,27.7
1986,AL East,84,78,5,5.10,163,6288,5702,831,1620,270,45,157,775,141,54,456,944,.284,.337,.430,.767,157,148,.975,27.6
1985,AL East,60,102,7,4.50,162,6121,5527,729,1465,254,31,116,689,132,72,492,817,.265,.324,.385,.709,141,161,.977,28.0
1984,AL East,75,87,6,4.67,163,6375,5643,761,1498,222,39,123,704,126,77,600,815,.265,.335,.384,.719,146,163,.977,27.4
1983,AL East,70,92,7,4.35,162,6222,5476,704,1451,249,31,86,659,109,71,605,691,.265,.338,.369,.707,122,174,.980,29.8
1982,AL East,78,84,6,4.22,162,6359,5559,683,1458,225,32,109,639,151,68,651,625,.262,.341,.373,.714,123,129,.980,28.7
1981,AL East,52,51,6,4.18,103,3952,3507,431,922,150,21,39,397,119,37,343,379,.263,.327,.351,.678,87,91,.978,28.8
1980,AL East,79,81,6,4.61,160,6259,5470,738,1517,221,40,89,692,118,58,617,625,.277,.350,.381,.731,105,143,.983,27.7
1979,AL East,81,80,6,4.72,161,6207,5376,760,1388,206,29,138,707,143,90,657,786,.258,.340,.384,.724,134,149,.978,28.1
1978,AL East,69,90,6,4.02,159,6013,5365,639,1400,223,45,106,596,64,63,488,698,.261,.323,.379,.702,123,142,.980,26.7
1977,AL East,71,90,5,4.20,161,6204,5491,676,1476,221,46,100,631,87,87,531,688,.269,.334,.380,.714,130,145,.979,27.7
1976,AL East,81,78,4,3.87,159,6030,5412,615,1423,189,38,85,567,75,69,479,631,.263,.321,.359,.680,121,159,.980,27.4
1975,AL East,79,80,4,4.33,159,6059,5404,688,1409,201,25,153,643,106,89,525,667,.261,.327,.392,.719,134,156,.978,26.7
1974,AL East,77,85,4,4.09,162,6019,5474,662,1395,201,19,131,616,79,68,432,756,.255,.311,.370,.681,146,157,.977,25.8
1973,AL East,71,91,6,4.20,162,6179,5592,680,1429,205,29,158,636,60,68,471,793,.256,.315,.387,.702,139,174,.978,24.7
1972,AL East,72,84,5,3.03,156,5769,5207,472,1220,186,18,91,440,49,53,420,762,.234,.293,.329,.622,116,157,.981,25.4
1971,AL East,60,102,6,3.35,162,6061,5467,543,1303,200,20,109,507,57,37,467,868,.238,.300,.342,.643,116,159,.981,26.3
1970,AL East,76,86,5,4.01,162,6125,5463,649,1358,197,23,183,617,25,36,503,909,.249,.314,.394,.707,133,168,.979,26.2
1969,AL East,62,99,6,3.56,161,6015,5365,573,1272,173,24,119,534,85,37,535,906,.237,.307,.345,.652,145,153,.976,27.3
1968,AL,86,75,3,3.19,162,5989,5416,516,1266,210,36,75,476,115,61,427,858,.234,.293,.327,.620,127,130,.979,27.5
1967,AL,75,87,8,3.45,162,6037,5461,559,1282,213,35,131,514,53,65,413,984,.235,.293,.359,.652,116,138,.981,28.6
1966,AL,81,81,5,3.54,162,6040,5474,574,1300,156,25,155,536,53,41,450,914,.237,.297,.360,.657,138,132,.978,28.7
1965,AL,87,75,5,4.09,162,6138,5469,663,1367,198,21,156,615,109,46,506,857,.250,.315,.379,.695,114,127,.981,27.8
1964,AL,79,83,6,4.20,164,6257,5603,689,1386,208,22,164,640,79,51,500,1063,.247,.312,.380,.693,118,149,.981,27.5
1963,AL,79,83,5,3.92,162,6136,5496,635,1314,214,29,169,592,59,36,469,1102,.239,.301,.381,.682,143,129,.977,27.2
1962,AL,80,82,6,4.21,162,6138,5484,682,1341,202,22,180,644,35,16,502,939,.245,.312,.388,.700,139,168,.978,27.7
1961,AL,78,83,5,4.58,161,6252,5609,737,1493,257,39,150,682,34,11,492,720,.266,.326,.406,.732,139,142,.977,28.8
1960,AL,76,78,4,4.33,154,5921,5296,667,1415,218,20,127,632,58,25,444,573,.267,.325,.388,.713,128,165,.978,28.2
1959,AL,89,65,2,4.84,154,5860,5288,745,1390,216,25,167,682,33,36,433,721,.263,.321,.408,.729,127,138,.978,28.6
1958,AL,77,76,4,4.54,153,5841,5201,694,1340,210,31,161,653,50,49,494,819,.258,.325,.403,.728,152,171,.974,28.7
1957,AL,76,77,6,4.46,153,5919,5171,682,1304,199,26,140,649,40,47,591,786,.252,.329,.382,.711,153,154,.974,28.9
1956,AL,88,66,2,4.59,155,5988,5148,712,1256,199,23,153,677,40,32,681,764,.244,.335,.381,.715,129,130,.978,30.0
1955,AL,93,61,2,4.53,154,6050,5146,698,1325,195,31,148,657,28,24,723,715,.257,.349,.394,.743,108,152,.982,30.5
1954,AL,111,43,1,4.78,156,6049,5222,746,1368,188,39,156,714,30,33,637,668,.262,.341,.403,.744,128,148,.979,30.2
1953,AL,92,62,2,4.97,155,6019,5285,770,1426,201,29,160,730,33,29,609,683,.270,.349,.410,.759,127,197,.979,29.5
1952,AL,93,61,2,4.92,155,6060,5330,763,1399,211,49,148,721,46,39,626,749,.262,.342,.404,.746,155,141,.975,29.8
1951,AL,93,61,2,4.49,155,5947,5250,696,1346,208,35,140,658,52,35,606,632,.256,.336,.389,.726,134,151,.978,29.3
1950,AL,92,62,4,5.20,155,6079,5263,806,1417,222,46,164,758,40,34,693,624,.269,.358,.422,.781,129,160,.978,29.2
1949,AL,89,65,3,4.38,154,5960,5221,675,1358,194,58,112,640,44,40,601,534,.260,.339,.384,.723,103,192,.983,29.3
1948,AL,97,58,1,5.38,156,6200,5446,840,1534,242,54,155,801,54,44,646,575,.282,.360,.431,.792,114,183,.982,28.6
1947,AL,80,74,4,4.38,157,5975,5367,687,1392,234,51,112,649,29,25,502,609,.259,.324,.385,.709,104,178,.983,28.4
1946,AL,68,86,6,3.44,156,5857,5242,537,1285,233,56,79,497,57,49,506,697,.245,.313,.356,.669,147,147,.975,27.9
1945,AL,73,72,5,3.79,147,5536,4898,557,1249,216,48,65,521,19,31,505,578,.255,.326,.359,.685,126,149,.978,27.7
1944,AL,72,82,5,4.15,155,6121,5481,643,1458,270,50,70,615,48,42,512,593,.266,.331,.372,.703,165,192,.974,28.4
