Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
2016,AL East,89,73,2,4.59,162,6089,5524,744,1413,265,6,253,710,19,13,468,1324,.256,.317,.443,.760,80,165,.987,28.4
2015,AL East,81,81,3,4.40,162,6007,5485,713,1370,246,20,217,686,44,25,418,1331,.250,.307,.421,.728,77,134,.987,27.9
2014,AL East,96,66,1,4.35,162,6130,5596,705,1434,264,16,211,681,44,20,401,1285,.256,.311,.422,.734,87,156,.986,28.3
2013,AL East,85,77,3,4.60,162,6144,5620,745,1460,298,14,212,719,79,29,416,1125,.260,.313,.431,.744,54,165,.991,27.8
2012,AL East,93,69,2,4.40,162,6160,5560,712,1375,270,16,214,677,58,29,480,1315,.247,.311,.417,.728,106,151,.983,28.0
2011,AL East,69,93,5,4.37,162,6156,5585,708,1434,273,13,191,684,81,25,452,1120,.257,.316,.413,.729,110,159,.982,28.3
2010,AL East,66,96,5,3.78,162,6109,5554,613,1440,264,21,133,577,76,34,424,1056,.259,.316,.386,.702,105,141,.983,28.7
2009,AL East,64,98,5,4.57,162,6233,5618,741,1508,307,19,160,708,76,37,517,1013,.268,.332,.415,.747,90,151,.985,28.7
2008,AL East,68,93,5,4.86,161,6211,5559,782,1486,322,30,172,750,81,37,533,990,.267,.333,.429,.762,100,163,.983,30.0
2007,AL East,69,93,4,4.67,162,6264,5631,756,1529,306,30,142,718,144,42,500,939,.272,.333,.412,.746,79,155,.987,30.4
2006,AL East,70,92,4,4.74,162,6240,5610,768,1556,288,20,164,727,121,32,474,878,.277,.339,.424,.763,102,156,.983,30.3
2005,AL East,74,88,4,4.50,162,6134,5551,729,1492,296,27,189,700,83,37,447,902,.269,.327,.434,.761,107,154,.982,31.3
2004,AL East,78,84,3,5.20,162,6431,5736,842,1614,319,18,169,803,101,41,528,949,.281,.345,.432,.776,110,161,.982,30.4
2003,AL East,71,91,4,4.56,163,6241,5665,743,1516,277,24,152,695,89,36,431,902,.268,.323,.405,.729,105,164,.983,29.3
2002,AL East,67,95,4,4.12,162,6096,5491,667,1353,311,27,165,636,110,48,452,993,.246,.309,.403,.712,91,173,.985,29.2
2001,AL East,63,98,4,4.24,162,6151,5472,687,1359,262,24,136,663,133,53,514,989,.248,.319,.380,.699,125,137,.979,30.1
2000,AL East,74,88,4,4.90,162,6238,5549,794,1508,310,22,184,750,126,65,558,900,.272,.341,.435,.776,116,151,.981,32.0
1999,AL East,78,84,4,5.25,162,6409,5637,851,1572,299,21,203,804,107,46,615,890,.279,.353,.447,.800,89,191,.986,32.5
1998,AL East,79,83,4,5.04,162,6304,5565,817,1520,303,11,214,783,86,48,593,903,.273,.347,.447,.794,81,144,.987,33.1
1997,AL East,98,64,1,5.01,162,6340,5584,812,1498,264,22,196,780,63,26,586,952,.268,.341,.429,.770,97,148,.984,31.6
1996,AL East,88,74,2,5.82,163,6494,5689,949,1557,299,29,257,914,76,40,645,915,.274,.350,.472,.822,97,173,.984,31.1
1995,AL East,71,73,3,4.89,144,5531,4837,704,1267,229,27,173,668,92,45,574,803,.262,.342,.428,.770,72,141,.987,30.1
1994,AL East,63,49,2,5.26,112,4386,3856,589,1047,185,20,139,557,69,13,438,655,.272,.349,.438,.787,57,103,.986,30.2
1993,AL East,85,77,3,4.85,162,6310,5508,786,1470,287,24,157,744,73,54,655,930,.267,.346,.413,.759,100,171,.984,29.4
1992,AL East,89,73,3,4.35,162,6292,5485,705,1423,243,36,148,680,89,48,647,827,.259,.340,.398,.738,93,168,.985,28.5
1991,AL East,67,95,6,4.23,162,6257,5604,686,1421,256,29,170,660,50,33,528,974,.254,.319,.401,.720,91,172,.986,28.3
1990,AL East,76,85,5,4.16,161,6223,5410,669,1328,234,22,132,623,94,52,660,962,.245,.330,.370,.700,93,151,.985,27.3
1989,AL East,87,75,2,4.37,162,6173,5440,708,1369,238,33,129,659,118,55,593,957,.252,.326,.379,.705,87,163,.986,27.1
1988,AL East,54,107,7,3.42,161,5979,5358,550,1275,199,20,137,517,69,44,504,869,.238,.305,.359,.664,119,172,.981,27.7
1987,AL East,67,95,6,4.50,162,6185,5576,729,1437,219,20,211,701,69,45,524,939,.258,.322,.418,.740,111,174,.982,30.1
1986,AL East,73,89,7,4.37,162,6203,5524,708,1425,223,13,169,669,64,34,563,862,.258,.327,.395,.722,135,163,.978,29.8
1985,AL East,83,78,4,5.08,161,6212,5517,818,1451,234,22,214,773,69,43,604,908,.263,.336,.430,.765,129,168,.979,29.6
1984,AL East,85,77,5,4.20,162,6187,5456,681,1374,234,23,160,647,51,36,620,884,.252,.328,.391,.719,123,166,.981,29.9
1983,AL East,98,64,1,4.93,162,6273,5546,799,1492,283,27,168,761,61,33,601,800,.269,.340,.421,.761,121,159,.981,29.7
1982,AL East,94,68,2,4.75,163,6325,5557,774,1478,259,27,179,735,49,38,634,796,.266,.341,.419,.760,101,140,.984,29.6
1981,AL East,59,46,2,4.09,105,3985,3516,429,883,165,11,88,408,41,34,404,454,.251,.329,.379,.708,68,114,.983,30.2
1980,AL East,100,62,2,4.97,162,6282,5585,805,1523,258,29,156,751,111,38,587,766,.273,.342,.413,.755,95,178,.985,29.7
1979,AL East,102,57,1,4.76,159,6106,5371,757,1401,258,24,181,717,99,49,608,847,.261,.336,.419,.755,125,161,.980,28.8
1978,AL East,90,71,4,4.09,161,6081,5422,659,1397,248,19,154,612,75,61,552,864,.258,.326,.396,.722,110,166,.983,28.0
