Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
2016,NL West,68,94,5,4.23,162,5998,5419,686,1275,257,26,177,654,125,45,449,1500,.235,.299,.390,.689,109,165,.982,28.1
2015,NL West,74,88,4,4.01,162,6019,5457,650,1324,260,36,148,623,82,29,426,1327,.243,.300,.385,.685,92,138,.985,27.6
2014,NL West,77,85,3,3.30,162,5905,5294,535,1199,224,30,109,500,91,34,468,1294,.226,.292,.342,.634,101,124,.983,27.9
2013,NL West,76,86,3,3.81,162,6122,5517,618,1349,246,26,146,578,118,34,467,1309,.245,.308,.378,.686,83,140,.987,28.1
2012,NL West,76,86,4,4.02,162,6112,5422,651,1339,272,43,121,610,155,46,539,1238,.247,.319,.380,.699,121,97,.980,27.4
2011,NL West,71,91,5,3.66,162,6074,5417,593,1284,247,42,91,563,170,44,501,1320,.237,.305,.349,.653,94,139,.985,28.0
2010,NL West,90,72,2,4.10,162,6148,5434,665,1338,236,24,132,630,124,50,538,1183,.246,.317,.371,.689,72,141,.988,29.1
2009,NL West,75,87,4,3.94,162,6179,5425,638,1315,265,31,141,605,82,29,586,1182,.242,.321,.381,.701,94,146,.984,28.0
2008,NL West,63,99,5,3.93,162,6244,5568,637,1390,264,27,154,615,36,17,518,1259,.250,.317,.390,.707,85,149,.986,28.9
2007,NL West,89,74,3,4.55,163,6326,5612,741,1408,322,31,171,704,55,24,557,1229,.251,.322,.411,.732,92,147,.985,29.9
2006,NL West,88,74,1,4.51,162,6287,5576,731,1465,298,38,161,698,123,31,564,1104,.263,.332,.416,.749,92,138,.985,30.7
2005,NL West,82,80,1,4.22,162,6271,5502,684,1416,269,39,130,655,99,44,600,977,.257,.333,.391,.724,109,136,.982,31.1
2004,NL West,87,75,3,4.74,162,6313,5573,768,1521,304,32,139,722,52,25,566,910,.273,.342,.414,.756,108,146,.982,29.6
2003,NL West,64,98,5,4.19,162,6246,5531,678,1442,257,32,128,641,76,39,565,1073,.261,.333,.388,.721,102,141,.983,28.5
2002,NL West,66,96,5,4.09,162,6178,5515,662,1393,243,29,136,627,71,44,547,1062,.253,.321,.381,.702,128,162,.979,29.1
2001,NL West,79,83,4,4.87,162,6278,5482,789,1379,273,26,161,753,129,44,678,1273,.252,.336,.399,.735,145,127,.976,28.9
2000,NL West,76,86,5,4.64,162,6291,5560,752,1413,279,37,157,714,131,53,602,1177,.254,.330,.402,.732,141,155,.977,28.6
1999,NL West,74,88,4,4.38,162,6136,5394,710,1360,256,22,153,671,174,67,631,1169,.252,.332,.393,.725,129,151,.979,29.7
1998,NL West,98,64,1,4.62,162,6245,5490,749,1390,292,30,167,715,79,37,604,1072,.253,.330,.409,.739,104,155,.983,31.1
1997,NL West,76,86,4,4.91,162,6373,5609,795,1519,275,16,152,761,140,60,604,1129,.271,.342,.407,.749,132,132,.979,30.8
1996,NL West,91,71,1,4.76,162,6419,5655,771,1499,285,24,147,718,109,55,601,1014,.265,.338,.402,.740,118,136,.981,30.9
1995,NL West,70,74,3,4.64,144,5527,4950,668,1345,231,20,116,618,124,46,447,872,.272,.334,.397,.731,108,130,.980,28.8
1994,NL West,47,70,4,4.09,117,4519,4068,479,1117,200,19,92,445,79,37,319,762,.275,.330,.401,.731,111,82,.975,27.2
1993,NL West,61,101,7,4.19,162,6137,5503,679,1386,239,28,153,633,92,41,443,1046,.252,.312,.389,.701,160,129,.974,26.9
1992,NL West,82,80,3,3.81,162,6074,5476,617,1396,255,30,135,576,69,52,453,864,.255,.313,.386,.699,115,127,.982,28.4
1991,NL West,84,78,3,3.93,162,6057,5408,636,1321,204,36,121,591,101,64,501,1069,.244,.310,.362,.673,113,130,.982,28.0
1990,NL West,75,87,4,4.15,162,6218,5554,673,1429,243,35,123,628,138,59,509,902,.257,.320,.380,.700,141,141,.977,28.7
1989,NL West,89,73,2,3.96,162,6120,5422,642,1360,215,32,120,598,136,67,552,1013,.251,.319,.369,.688,154,147,.976,27.9
1988,NL West,83,78,3,3.69,161,6032,5366,594,1325,205,35,94,566,123,50,494,892,.247,.310,.351,.661,120,147,.981,27.2
1987,NL West,65,97,6,4.12,162,6177,5456,668,1419,209,48,113,621,198,91,577,992,.260,.332,.378,.710,147,135,.977,26.5
1986,NL West,74,88,4,4.05,162,6118,5515,656,1442,239,25,136,629,96,68,484,917,.261,.321,.388,.709,137,135,.978,29.2
1985,NL West,83,79,3,4.01,162,6150,5507,650,1405,241,28,109,611,60,39,513,809,.255,.320,.368,.688,124,158,.980,29.7
1984,NL West,92,70,1,4.23,162,6119,5504,686,1425,207,42,109,629,152,68,472,810,.259,.317,.371,.688,138,144,.978,28.3
1983,NL West,81,81,4,4.01,163,6163,5527,653,1384,207,34,93,592,179,67,482,822,.250,.311,.351,.661,129,135,.979,27.4
1982,NL West,81,81,4,4.17,162,6160,5575,675,1435,217,52,81,611,165,77,429,877,.257,.311,.359,.669,152,142,.976,26.6
1981,NL West,41,69,6,3.47,110,4185,3757,382,963,170,35,32,350,83,62,311,525,.256,.313,.346,.659,102,117,.977,25.9
1980,NL West,73,89,6,3.63,163,6255,5540,591,1410,195,43,67,546,239,73,563,791,.255,.324,.342,.665,132,157,.980,28.1
