Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
2016,NL Central,78,83,3,4.50,162,6261,5542,729,1426,277,32,153,696,110,45,561,1334,.257,.332,.402,.734,111,172,.982,28.9
2015,NL Central,98,64,2,4.30,162,6285,5631,697,1462,292,27,140,661,98,45,461,1322,.260,.323,.396,.719,122,177,.981,28.2
2014,NL Central,88,74,2,4.21,162,6224,5536,682,1436,275,30,156,659,104,47,520,1244,.259,.330,.404,.734,109,148,.983,27.3
2013,NL Central,94,68,2,3.91,162,6135,5486,634,1346,273,35,161,603,94,42,469,1330,.245,.313,.396,.709,106,154,.984,27.9
2012,NL Central,79,83,4,4.02,162,6014,5412,651,1313,241,37,170,620,73,52,444,1354,.243,.304,.395,.699,112,126,.982,27.6
2011,NL Central,72,90,4,3.77,162,6064,5421,610,1325,277,35,107,580,108,52,489,1308,.244,.309,.368,.676,112,154,.982,27.2
2010,NL Central,57,105,6,3.62,162,5974,5386,587,1303,276,27,126,570,87,36,463,1207,.242,.304,.373,.678,127,120,.979,26.5
2009,NL Central,62,99,6,3.95,161,6058,5417,636,1364,289,34,125,612,90,32,499,1142,.252,.318,.387,.705,73,171,.988,27.0
2008,NL Central,67,95,6,4.54,162,6278,5628,735,1454,314,21,153,705,57,19,474,1039,.258,.320,.403,.723,107,179,.983,28.4
2007,NL Central,68,94,6,4.47,162,6214,5569,724,1463,322,31,148,694,68,30,463,1135,.263,.325,.411,.736,83,190,.987,27.2
2006,NL Central,67,95,5,4.27,162,6218,5558,691,1462,286,17,141,656,68,23,459,1200,.263,.327,.397,.723,104,168,.983,27.8
2005,NL Central,67,95,6,4.20,162,6221,5573,680,1445,292,38,139,656,73,30,471,1092,.259,.322,.400,.723,117,193,.981,27.4
2004,NL Central,72,89,5,4.22,161,6115,5483,680,1428,267,39,142,648,63,40,415,1066,.260,.321,.401,.722,103,189,.983,27.2
2003,NL Central,75,87,4,4.65,162,6315,5581,753,1492,275,45,163,711,86,37,529,1049,.267,.338,.420,.758,123,159,.981,29.7
2002,NL Central,72,89,4,3.98,161,6049,5330,641,1300,263,20,142,610,86,49,537,1109,.244,.319,.381,.700,115,177,.982,27.9
2001,NL Central,62,100,6,4.06,162,6027,5398,657,1333,256,25,161,618,93,73,467,1106,.247,.313,.393,.706,133,168,.979,27.8
2000,NL Central,69,93,5,4.90,162,6369,5643,793,1506,320,31,168,749,86,40,564,1032,.267,.339,.424,.762,132,169,.979,28.3
1999,NL Central,78,83,3,4.81,161,6234,5468,775,1417,282,40,171,735,112,44,573,1197,.259,.334,.419,.753,147,179,.976,28.3
1998,NL Central,69,93,6,3.99,163,6113,5493,650,1395,271,35,107,613,159,51,393,1060,.254,.311,.374,.686,140,161,.977,26.7
1997,NL Central,79,83,2,4.48,162,6201,5503,725,1440,291,52,129,686,160,50,481,1161,.262,.329,.404,.733,131,149,.979,26.6
1996,NL Central,73,89,5,4.79,162,6336,5665,776,1509,319,33,138,738,126,49,510,989,.266,.329,.407,.736,128,144,.980,28.8
1995,NL Central,58,86,5,4.37,144,5501,4937,629,1281,245,27,125,587,84,55,456,972,.259,.323,.396,.719,122,138,.978,28.3
1994,NL Central,53,61,3,4.09,114,4301,3864,466,1001,198,23,80,435,53,25,349,725,.259,.322,.384,.706,91,131,.980,29.1
1993,NL East,75,87,5,4.36,162,6269,5549,707,1482,267,50,110,664,92,55,536,972,.267,.335,.393,.727,105,161,.983,28.1
1992,NL East,96,66,1,4.28,162,6269,5527,693,1409,272,54,106,656,110,53,569,872,.255,.324,.381,.705,101,144,.984,28.7
1991,NL East,98,64,1,4.74,162,6269,5449,768,1433,259,50,126,725,124,46,620,901,.263,.338,.398,.737,120,134,.981,28.1
1990,NL East,95,67,1,4.52,162,6161,5388,733,1395,288,42,138,693,137,52,582,914,.259,.330,.405,.735,134,125,.979,27.7
1989,NL East,74,88,5,3.88,164,6261,5539,637,1334,263,53,95,584,155,69,563,914,.241,.311,.359,.670,160,130,.975,27.0
1988,NL East,85,75,2,4.07,160,6091,5379,651,1327,240,45,110,619,119,60,553,947,.247,.317,.369,.687,125,128,.980,26.0
1987,NL East,80,82,4,4.46,162,6225,5536,723,1464,282,45,131,684,140,58,535,914,.264,.330,.403,.732,123,147,.981,26.4
1986,NL East,64,98,6,4.09,162,6164,5456,663,1366,273,33,111,618,152,84,569,929,.250,.321,.374,.695,143,134,.978,27.2
1985,NL East,57,104,6,3.53,161,6099,5436,568,1340,251,28,80,535,110,60,514,842,.247,.311,.347,.658,133,127,.979,28.2
1984,NL East,75,87,6,3.80,162,6119,5537,615,1412,237,33,98,586,96,62,438,841,.255,.310,.363,.672,128,142,.980,28.3
1983,NL East,84,78,2,4.07,162,6176,5531,659,1460,238,29,121,612,124,77,497,873,.264,.325,.383,.708,115,165,.982,28.6
1982,NL East,84,78,4,4.47,162,6235,5614,724,1535,272,40,134,688,161,75,447,862,.273,.327,.408,.734,145,133,.977,28.7
1981,NL East,46,56,4,3.95,103,3962,3576,407,920,176,30,55,384,122,52,278,494,.257,.311,.369,.680,86,106,.979,29.1
1980,NL East,83,79,3,4.11,162,6128,5517,666,1469,249,38,116,626,209,102,452,760,.266,.322,.388,.710,137,154,.978,29.6
1979,NL East,98,64,1,4.75,163,6332,5661,775,1541,264,52,148,710,180,66,483,855,.272,.330,.416,.746,134,163,.979,29.4
1978,NL East,88,73,2,4.25,161,6040,5406,684,1390,239,54,115,631,213,90,480,874,.257,.320,.385,.705,167,133,.973,29.1
1977,NL East,96,66,2,4.53,162,6263,5662,734,1550,278,57,133,678,260,120,474,878,.274,.331,.413,.745,145,137,.977,28.1
1976,NL East,92,70,2,4.37,162,6177,5604,708,1499,249,56,110,660,130,45,433,807,.267,.321,.391,.711,163,142,.975,28.5
1975,NL East,92,69,1,4.42,161,6112,5489,712,1444,255,47,138,669,49,28,468,832,.263,.323,.402,.725,151,147,.976,27.6
1974,NL East,88,74,1,4.64,162,6366,5702,751,1560,238,46,114,692,55,31,514,828,.274,.335,.391,.726,162,154,.975,27.1
1973,NL East,80,82,3,4.35,162,6170,5608,704,1465,257,44,154,664,23,30,432,842,.261,.315,.405,.720,151,156,.976,27.1
1972,NL East,96,59,1,4.46,155,6023,5490,691,1505,251,47,110,654,49,30,404,871,.274,.324,.397,.721,136,171,.978,28.1
1971,NL East,97,65,1,4.86,162,6285,5674,788,1555,223,61,154,744,65,31,469,919,.274,.330,.416,.746,133,164,.979,27.7
1970,NL East,89,73,1,4.50,162,6231,5637,729,1522,235,70,130,676,66,34,444,871,.270,.325,.406,.731,137,195,.979,27.7
1969,NL East,88,74,3,4.48,162,6235,5626,725,1557,220,52,119,651,74,34,454,944,.277,.334,.398,.732,155,169,.975,27.2
1968,NL,80,82,6,3.58,163,6163,5569,583,1404,180,44,80,538,130,59,422,953,.252,.306,.343,.650,139,162,.979,29.7
1967,NL,81,81,6,4.17,163,6257,5724,679,1585,193,62,91,615,79,37,387,914,.277,.324,.380,.704,141,186,.978,29.2
1966,NL,92,70,3,4.69,162,6230,5676,759,1586,238,66,158,715,64,60,405,1011,.279,.329,.428,.757,141,215,.978,28.2
1965,NL,90,72,3,4.14,163,6250,5686,675,1506,217,57,111,631,51,38,419,1008,.265,.317,.382,.699,152,189,.977,28.1
1964,NL,80,82,6,4.09,162,6119,5566,663,1469,225,54,121,630,39,33,408,970,.264,.315,.389,.704,177,179,.973,27.8
