Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
2016,NL Central,68,94,5,4.42,162,6093,5487,716,1403,277,33,164,678,139,51,452,1284,.256,.316,.408,.724,102,142,.983,27.8
2015,NL Central,64,98,5,3.95,162,6196,5571,640,1382,257,27,167,613,134,38,496,1255,.248,.312,.394,.706,90,131,.985,29.5
2014,NL Central,76,86,4,3.67,162,5978,5395,595,1282,254,20,131,562,122,52,415,1252,.238,.296,.365,.661,72,120,.988,29.0
2013,NL Central,90,72,3,4.31,162,6293,5499,698,1370,274,20,155,664,67,35,585,1245,.249,.327,.391,.718,76,131,.988,28.5
2012,NL Central,97,65,1,4.13,162,6115,5477,669,1377,296,30,172,636,87,27,481,1266,.251,.315,.411,.726,89,113,.985,28.8
2011,NL Central,79,83,3,4.54,162,6329,5612,735,1438,264,19,183,697,97,50,535,1250,.256,.326,.408,.734,91,146,.985,28.6
2010,NL Central,91,71,1,4.88,162,6285,5579,790,1515,293,30,188,761,93,43,522,1218,.272,.338,.436,.774,72,142,.988,29.0
2009,NL Central,78,84,4,4.15,162,6187,5462,673,1349,280,25,158,637,96,40,531,1129,.247,.318,.394,.712,89,161,.985,27.9
2008,NL Central,74,88,5,4.35,162,6188,5465,704,1351,269,24,187,677,85,47,560,1125,.247,.321,.408,.729,114,156,.981,28.6
2007,NL Central,72,90,5,4.83,162,6332,5607,783,1496,293,23,204,747,97,31,536,1113,.267,.335,.436,.772,95,155,.984,29.7
2006,NL Central,80,82,3,4.62,162,6296,5515,749,1419,291,12,217,718,124,33,614,1192,.257,.336,.432,.768,128,139,.979,29.6
2005,NL Central,73,89,5,5.03,163,6321,5565,820,1453,335,15,222,784,72,23,611,1303,.261,.339,.446,.785,104,133,.983,28.6
2004,NL Central,76,86,4,4.63,162,6278,5518,750,1380,287,28,194,713,77,25,599,1335,.250,.331,.418,.749,113,123,.981,28.4
2003,NL Central,69,93,5,4.28,162,6211,5509,694,1349,239,21,182,669,80,34,524,1326,.245,.318,.395,.713,141,152,.977,27.3
2002,NL Central,78,84,3,4.38,162,6254,5470,709,1386,297,21,169,678,116,52,583,1188,.253,.330,.408,.738,120,169,.981,27.7
2001,NL Central,66,96,5,4.54,162,6222,5583,735,1464,304,22,176,690,103,54,468,1172,.262,.324,.419,.744,138,136,.978,28.0
