Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
2016,NL West,75,87,3,5.22,162,6236,5614,845,1544,318,47,204,805,66,39,494,1330,.275,.336,.457,.794,110,148,.982,27.8
2015,NL West,68,94,5,4.55,162,6071,5572,737,1479,274,49,186,702,97,43,388,1283,.265,.315,.432,.748,95,171,.985,28.0
2014,NL West,66,96,4,4.66,162,6164,5612,755,1551,307,41,186,721,85,48,397,1281,.276,.327,.445,.772,106,166,.983,27.4
2013,NL West,74,88,5,4.36,162,6152,5599,706,1511,283,36,159,673,112,32,427,1204,.270,.323,.418,.741,90,162,.986,27.7
2012,NL West,64,98,5,4.68,162,6183,5577,758,1526,306,52,166,716,100,40,450,1213,.274,.330,.436,.766,122,139,.980,28.1
2011,NL West,73,89,4,4.54,162,6275,5544,735,1429,274,40,163,697,118,42,555,1201,.258,.329,.410,.739,98,156,.984,28.6
2010,NL West,83,79,3,4.75,162,6265,5530,770,1452,270,54,173,741,99,41,585,1274,.263,.336,.425,.760,101,182,.984,28.8
2009,NL West,92,70,2,4.96,162,6241,5398,804,1408,300,50,190,760,106,55,660,1277,.261,.343,.441,.784,87,146,.986,27.8
2008,NL West,74,88,3,4.61,162,6312,5557,747,1462,310,28,160,714,141,37,570,1209,.263,.336,.415,.751,96,176,.985,27.5
2007,NL West,90,73,2,5.28,163,6498,5691,860,1591,313,36,171,823,100,31,622,1152,.280,.354,.437,.791,68,180,.989,27.9
2006,NL West,76,86,4,5.02,162,6348,5562,813,1504,325,54,157,761,85,50,561,1108,.270,.341,.433,.774,91,190,.985,27.8
2005,NL West,67,95,5,4.57,162,6238,5542,740,1477,280,34,150,704,65,32,509,1103,.267,.333,.411,.744,118,158,.981,27.2
2004,NL West,68,94,4,5.14,162,6333,5577,833,1531,331,34,202,795,44,33,568,1181,.275,.345,.455,.800,89,161,.986,30.4
2003,NL West,74,88,4,5.27,162,6283,5518,853,1472,330,31,198,814,63,37,619,1134,.267,.344,.445,.790,116,165,.981,29.5
2002,NL West,73,89,4,4.80,162,6165,5512,778,1508,283,41,152,726,103,53,497,1043,.274,.337,.423,.760,112,158,.982,28.7
2001,NL West,73,89,5,5.70,162,6394,5690,923,1663,324,61,213,874,132,54,511,1027,.292,.354,.483,.837,96,167,.984,28.3
2000,NL West,82,80,4,5.98,162,6453,5660,968,1664,320,53,161,905,131,61,601,907,.294,.362,.455,.816,94,176,.985,29.2
1999,NL West,72,90,5,5.59,162,6369,5717,906,1644,305,39,223,863,70,43,508,863,.288,.348,.472,.819,118,189,.981,29.7
1998,NL West,77,85,4,5.10,162,6277,5632,826,1640,333,36,183,791,67,47,469,949,.291,.347,.461,.808,102,193,.984,29.5
1997,NL West,83,79,3,5.70,162,6338,5603,923,1611,269,40,239,869,137,65,562,1060,.288,.357,.478,.835,111,202,.983,30.4
1996,NL West,83,79,3,5.93,162,6333,5590,961,1607,297,37,221,909,201,66,527,1108,.287,.355,.472,.827,149,167,.976,30.1
1995,NL West,77,67,2,5.45,144,5647,4994,785,1406,259,43,200,749,125,59,484,943,.282,.350,.471,.820,107,146,.981,29.5
1994,NL West,53,64,3,4.90,117,4493,4006,573,1098,206,39,125,540,91,53,378,761,.274,.337,.439,.776,84,117,.981,29.7
1993,NL West,67,95,6,4.68,162,6073,5517,758,1507,278,59,142,704,146,90,388,944,.273,.323,.422,.745,167,149,.973,27.7
