Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
2016,AL Central,81,81,3,4.17,162,6051,5552,675,1450,264,33,147,640,121,35,382,1224,.261,.312,.400,.712,94,134,.984,28.6
2015,AL Central,95,67,1,4.47,162,6116,5575,724,1497,300,42,139,689,104,34,383,973,.269,.322,.412,.734,88,138,.986,29.1
2014,AL Central,89,73,2,4.02,162,6058,5545,651,1456,286,29,95,604,153,36,380,985,.263,.314,.376,.690,104,122,.983,28.3
2013,AL Central,86,76,3,4.00,162,6093,5549,648,1443,254,34,112,620,153,32,422,1048,.260,.315,.379,.694,85,136,.986,27.0
2012,AL Central,72,90,3,4.17,162,6149,5636,676,1492,295,37,131,643,132,38,404,1032,.265,.317,.400,.716,113,171,.981,26.1
2011,AL Central,71,91,4,4.51,162,6267,5672,730,1560,325,41,129,705,153,58,442,1006,.275,.329,.415,.744,95,149,.985,25.8
2010,AL Central,67,95,5,4.17,162,6209,5604,676,1534,279,31,121,640,115,50,471,905,.274,.331,.399,.730,121,138,.980,28.8
2009,AL Central,65,97,4,4.23,162,6103,5532,686,1432,276,51,144,657,88,29,457,1091,.259,.318,.405,.724,117,159,.980,27.8
2008,AL Central,75,87,4,4.27,162,6118,5608,691,1507,303,28,120,650,79,38,392,1005,.269,.320,.397,.717,96,159,.984,28.0
2007,AL Central,69,93,5,4.36,162,6140,5534,706,1447,300,46,102,660,78,44,428,1069,.261,.322,.388,.710,106,160,.982,27.9
2006,AL Central,62,100,5,4.67,162,6229,5589,757,1515,335,37,124,718,65,34,474,1040,.271,.332,.411,.743,98,189,.984,29.6
2005,AL Central,56,106,5,4.33,162,6086,5503,701,1445,289,34,126,653,53,33,424,1008,.263,.320,.396,.716,125,163,.979,27.9
2004,AL Central,58,104,5,4.44,162,6153,5538,720,1432,261,29,150,675,67,48,461,1057,.259,.322,.397,.720,131,169,.978,28.9
2003,AL Central,83,79,3,5.16,162,6239,5568,836,1526,288,39,162,781,120,42,476,926,.274,.336,.427,.763,108,143,.982,29.2
2002,AL Central,62,100,4,4.55,162,6206,5535,737,1415,285,42,140,695,140,65,524,921,.256,.323,.398,.721,130,153,.979,29.2
2001,AL Central,65,97,5,4.50,162,6176,5643,729,1503,277,37,152,691,100,42,406,898,.266,.318,.409,.727,117,204,.981,28.2
2000,AL Central,77,85,4,5.43,162,6394,5709,879,1644,281,27,150,831,121,35,511,840,.288,.348,.425,.773,102,185,.984,27.5
1999,AL Central,64,97,4,5.32,161,6325,5624,856,1584,294,52,151,800,127,39,535,932,.282,.348,.433,.781,125,188,.980,27.0
1998,AL Central,72,89,3,4.43,161,6191,5546,714,1459,274,40,134,686,135,50,475,984,.263,.324,.399,.724,125,172,.980,28.7
1997,AL Central,67,94,5,4.64,161,6295,5599,747,1478,256,35,158,711,130,66,561,1061,.264,.333,.407,.740,91,168,.985,28.8
1996,AL Central,75,86,5,4.63,161,6229,5542,746,1477,286,38,123,689,195,85,529,943,.267,.332,.398,.731,111,184,.982,27.2
1995,AL Central,70,74,2,4.37,144,5528,4903,629,1275,240,35,119,578,120,53,475,849,.260,.328,.396,.724,90,168,.984,29.1
1994,AL Central,64,51,3,4.99,115,4391,3911,574,1051,211,38,100,538,140,62,376,698,.269,.335,.419,.754,80,102,.982,29.9
1993,AL West,84,78,3,4.17,162,6101,5522,675,1455,294,35,125,641,100,75,428,936,.263,.320,.397,.717,97,150,.984,30.0
1992,AL West,72,90,5,3.77,162,6084,5501,610,1411,284,42,75,568,131,71,439,741,.256,.315,.364,.679,122,164,.980,28.9
1991,AL West,82,80,6,4.49,162,6244,5584,727,1475,290,41,117,689,119,68,523,969,.264,.328,.394,.722,125,141,.980,28.6
1990,AL West,75,86,6,4.39,161,6099,5488,707,1465,316,44,100,660,107,62,498,879,.267,.328,.395,.723,122,161,.980,29.7
1989,AL West,92,70,2,4.26,162,6151,5475,690,1428,227,41,101,653,154,51,554,897,.261,.329,.373,.702,114,139,.982,30.3
