Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
2016,AL Central,86,75,2,4.66,161,6127,5526,750,1476,252,30,211,719,58,29,493,1303,.267,.331,.438,.769,75,148,.987,29.9
2015,AL Central,74,87,5,4.28,161,6159,5605,689,1515,289,49,151,660,83,51,455,1259,.270,.328,.420,.748,86,165,.986,28.3
2014,AL Central,90,72,1,4.67,162,6202,5630,757,1557,325,26,155,731,106,41,443,1144,.277,.331,.426,.757,101,153,.983,29.7
2013,AL Central,93,69,1,4.91,162,6388,5735,796,1625,292,23,176,767,35,20,531,1073,.283,.346,.434,.780,76,136,.987,29.9
2012,AL Central,88,74,1,4.48,162,6119,5476,726,1467,279,39,163,698,59,23,511,1103,.268,.335,.422,.757,99,127,.983,28.0
2011,AL Central,95,67,1,4.86,162,6231,5563,787,1540,297,34,169,750,49,20,521,1143,.277,.340,.434,.773,103,148,.983,28.6
2010,AL Central,81,81,3,4.64,162,6312,5643,751,1515,308,32,152,717,69,30,546,1147,.268,.335,.415,.750,109,171,.982,28.8
2009,AL Central,86,77,2,4.56,163,6234,5540,743,1443,245,35,183,718,72,33,540,1114,.260,.331,.416,.747,88,164,.985,29.7
2008,AL Central,74,88,5,5.07,162,6331,5641,821,1529,293,41,200,780,63,31,572,1076,.271,.340,.444,.784,113,172,.981,30.3
2007,AL Central,88,74,2,5.48,162,6364,5757,887,1652,352,50,177,857,103,30,474,1054,.287,.345,.458,.802,99,148,.984,30.8
2006,AL Central,95,67,2,5.07,162,6198,5642,822,1548,294,40,203,785,60,40,430,1133,.274,.329,.449,.777,106,162,.983,29.3
2005,AL Central,71,91,4,4.46,162,6136,5602,723,1521,283,45,168,678,66,28,384,1038,.272,.321,.428,.750,110,171,.982,28.5
2004,AL Central,72,90,4,5.10,162,6285,5623,827,1531,284,54,201,800,86,50,518,1144,.272,.337,.449,.786,144,160,.977,28.2
2003,AL Central,43,119,5,3.65,162,6071,5466,591,1312,201,39,153,553,98,63,443,1099,.240,.300,.375,.675,138,194,.978,27.2
2002,AL Central,55,106,5,3.57,161,5920,5406,575,1340,265,37,124,546,65,44,363,1035,.248,.300,.379,.679,142,148,.977,28.1
2001,AL Central,66,96,4,4.47,162,6145,5537,724,1439,291,60,139,691,133,61,466,972,.260,.320,.409,.730,131,164,.979,28.2
2000,AL Central,79,83,3,5.08,162,6343,5644,823,1553,307,41,177,785,83,38,562,982,.275,.343,.438,.781,105,171,.983,29.1
1999,AL Central,69,92,3,4.64,161,6096,5481,747,1433,289,34,212,704,108,70,458,1049,.261,.326,.443,.768,106,156,.982,27.5
1998,AL Central,65,97,5,4.46,162,6243,5664,722,1494,306,29,165,691,122,62,455,1070,.264,.323,.415,.738,115,164,.982,27.3
1997,AL East,79,83,3,4.84,162,6190,5481,784,1415,268,32,176,743,161,72,578,1164,.258,.332,.415,.747,92,146,.985,26.5
1996,AL East,53,109,5,4.83,162,6203,5530,783,1413,257,21,204,741,87,50,546,1268,.256,.323,.420,.743,137,157,.978,27.0
1995,AL East,60,84,4,4.54,144,5535,4865,654,1204,228,29,159,619,73,36,551,987,.247,.327,.404,.731,106,143,.981,28.8
