Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
2016,AL East,84,78,4,4.20,162,6045,5458,680,1378,245,20,183,647,72,22,475,1188,.252,.315,.405,.720,86,116,.985,30.0
2015,AL East,87,75,2,4.72,162,6268,5567,764,1397,272,19,212,737,63,25,554,1227,.251,.323,.421,.744,93,135,.985,31.2
2014,AL East,84,78,2,3.91,162,6082,5497,633,1349,247,26,147,591,112,26,452,1133,.245,.307,.380,.687,92,107,.985,32.5
2013,AL East,85,77,3,4.01,162,6045,5449,650,1321,247,24,144,614,115,31,466,1214,.242,.307,.376,.683,69,139,.988,31.8
2012,AL East,95,67,1,4.96,162,6231,5524,804,1462,280,13,245,774,93,27,565,1176,.265,.337,.453,.790,75,135,.987,32.7
2011,AL East,97,65,1,5.35,162,6306,5518,867,1452,267,33,222,836,147,46,627,1138,.263,.343,.444,.788,102,141,.983,30.5
2010,AL East,95,67,2,5.30,162,6379,5567,859,1485,275,32,201,823,103,30,662,1136,.267,.350,.436,.786,69,161,.988,30.2
2009,AL East,103,59,1,5.65,162,6449,5660,915,1604,325,21,244,881,111,28,663,1014,.283,.362,.478,.839,86,131,.986,30.5
2008,AL East,89,73,3,4.87,162,6257,5572,789,1512,289,20,180,758,118,39,535,1015,.271,.342,.427,.769,83,141,.986,31.3
2007,AL East,94,68,2,5.98,162,6528,5717,968,1656,326,32,201,929,123,40,637,991,.290,.366,.463,.829,88,174,.985,30.7
2006,AL East,97,65,1,5.74,162,6455,5651,930,1608,327,21,210,902,139,35,649,1053,.285,.363,.461,.824,104,145,.983,30.9
2005,AL East,95,67,1,5.47,162,6406,5624,886,1552,259,16,229,847,84,27,637,989,.276,.355,.450,.805,95,151,.984,32.4
2004,AL East,101,61,1,5.54,162,6364,5527,897,1483,281,20,242,863,84,33,670,982,.268,.353,.458,.811,99,148,.984,32.3
2003,AL East,101,61,1,5.38,163,6431,5605,877,1518,304,14,230,845,98,33,684,1042,.271,.356,.453,.810,114,126,.981,30.5
2002,AL East,103,58,1,5.57,161,6377,5601,897,1540,314,12,223,857,100,38,640,1171,.275,.354,.455,.809,127,117,.979,30.1
2001,AL East,95,65,1,4.99,161,6233,5577,804,1488,289,20,203,774,161,53,519,1035,.267,.334,.435,.769,109,132,.982,31.1
2000,AL East,87,74,1,5.41,161,6311,5556,871,1541,294,25,205,833,99,48,631,1007,.277,.354,.450,.804,109,132,.981,31.3
1999,AL East,98,64,1,5.56,162,6416,5568,900,1568,302,36,193,855,104,57,718,978,.282,.366,.453,.819,111,132,.982,30.9
1998,AL East,114,48,1,5.96,162,6444,5643,965,1625,290,31,207,907,153,63,653,1025,.288,.364,.460,.825,98,146,.984,30.4
1997,AL East,96,66,2,5.50,162,6527,5710,891,1636,325,23,161,846,99,58,676,954,.287,.362,.436,.798,104,156,.983,30.5
1996,AL East,92,70,1,5.38,162,6414,5628,871,1621,293,28,162,830,96,46,632,909,.288,.360,.436,.796,91,146,.985,30.1
1995,AL East,79,65,2,5.17,145,5699,4947,749,1365,280,34,122,709,50,30,625,851,.276,.357,.420,.778,74,121,.986,31.0
1994,AL East,70,43,1,5.93,113,4611,3986,670,1155,238,16,139,632,55,40,530,660,.290,.374,.462,.836,80,122,.982,30.5
1993,AL East,88,74,2,5.07,162,6359,5615,821,1568,294,24,178,793,39,35,629,910,.279,.353,.435,.789,105,166,.983,29.7
1992,AL East,76,86,4,4.52,162,6262,5593,733,1462,281,18,163,703,78,37,536,903,.261,.328,.406,.733,114,165,.982,28.3
1991,AL East,71,91,5,4.16,162,6140,5541,674,1418,249,19,147,630,109,36,473,861,.256,.316,.387,.704,133,181,.979,27.8
1990,AL East,67,95,7,3.72,162,6037,5483,603,1322,208,19,147,561,119,45,427,1027,.241,.300,.366,.667,126,164,.980,28.2
1989,AL East,74,87,5,4.34,161,6096,5458,698,1470,229,23,130,657,137,60,502,831,.269,.331,.391,.722,122,183,.980,28.6
1988,AL East,85,76,5,4.80,161,6297,5592,772,1469,272,12,148,713,146,39,588,935,.263,.333,.395,.728,134,161,.978,30.5
1987,AL East,89,73,4,4.86,162,6222,5511,788,1445,239,16,196,749,105,43,604,949,.262,.336,.418,.754,102,155,.983,29.8
1986,AL East,90,72,2,4.92,162,6325,5570,797,1512,275,23,188,745,139,48,645,911,.271,.347,.430,.778,127,153,.979,29.2
1985,AL East,97,64,2,5.21,161,6236,5458,839,1458,272,31,176,793,155,53,620,771,.267,.344,.425,.769,126,172,.979,28.8
1984,AL East,87,75,3,4.68,162,6356,5661,758,1560,275,32,130,725,62,38,534,673,.276,.339,.404,.743,142,177,.977,29.5
1983,AL East,91,71,3,4.75,162,6279,5631,770,1535,269,40,153,728,84,42,533,686,.273,.337,.416,.753,139,157,.978,30.6
1982,AL East,79,83,5,4.38,162,6245,5526,709,1417,225,37,161,666,69,45,590,719,.256,.328,.398,.726,128,158,.979,30.3
1981,AL East,59,48,4,3.93,107,3994,3529,421,889,148,22,100,403,47,30,391,434,.252,.325,.391,.717,72,100,.982,30.7
1980,AL East,103,59,1,5.06,162,6329,5553,820,1484,239,34,189,772,86,36,643,739,.267,.343,.425,.768,138,160,.978,29.9
1979,AL East,89,71,4,4.59,160,6061,5421,734,1443,226,40,150,694,65,46,509,590,.266,.328,.406,.733,122,183,.981,30.2
1978,AL East,100,63,1,4.51,163,6220,5583,735,1489,228,38,125,693,98,42,505,695,.267,.329,.388,.718,113,134,.982,29.8
1977,AL East,100,62,1,5.13,162,6261,5605,831,1576,267,47,184,784,93,57,533,681,.281,.344,.444,.788,132,151,.979,29.1
1976,AL East,97,62,1,4.59,159,6156,5555,730,1496,231,36,120,681,163,65,470,616,.269,.328,.389,.716,126,141,.980,28.3
1975,AL East,83,77,3,4.26,160,6039,5415,681,1430,230,39,110,642,102,59,486,710,.264,.325,.382,.707,135,148,.978,28.5
1974,AL East,89,73,2,4.14,162,6182,5524,671,1451,220,30,101,637,53,35,515,690,.263,.324,.368,.692,142,158,.978,27.7
1973,AL East,80,82,4,3.96,162,6064,5492,641,1435,212,17,131,616,47,43,489,680,.261,.322,.378,.700,156,172,.976,30.0
1972,AL East,79,76,4,3.59,155,5794,5168,557,1288,202,24,103,526,71,42,491,689,.249,.316,.357,.674,134,179,.978,28.7
1971,AL East,82,80,4,4.00,162,6164,5413,648,1377,195,43,97,607,75,55,581,717,.254,.328,.360,.688,125,159,.981,28.3
1970,AL East,93,69,2,4.17,163,6211,5492,680,1381,208,41,111,627,105,61,588,808,.251,.324,.365,.689,130,146,.980,27.0
1969,AL East,80,81,5,3.47,162,5990,5308,562,1247,210,44,94,521,119,74,565,840,.235,.308,.344,.652,131,158,.979,26.8
1968,AL,83,79,5,3.27,164,5992,5310,536,1137,154,34,109,501,90,50,566,958,.214,.292,.318,.609,139,142,.979,28.0
1967,AL,72,90,9,3.20,163,6118,5443,522,1225,166,17,100,473,63,37,532,1043,.225,.296,.317,.613,154,144,.976,28.0
1966,AL,70,89,10,3.82,160,5936,5330,611,1254,182,36,162,569,49,29,485,817,.235,.299,.374,.674,142,142,.977,28.4
1965,AL,77,85,6,3.77,162,6081,5470,611,1286,196,31,149,576,35,20,489,951,.235,.299,.364,.663,137,166,.978,28.3
1964,AL,99,63,1,4.45,164,6359,5705,730,1442,208,35,162,688,54,18,520,976,.253,.317,.387,.704,109,158,.983,28.2
1963,AL,104,57,1,4.43,161,6067,5506,714,1387,197,35,188,666,42,26,434,808,.252,.309,.403,.711,110,162,.982,28.0
1962,AL,96,66,1,5.04,162,6393,5644,817,1509,240,29,199,791,42,29,584,842,.267,.337,.426,.762,131,151,.979,28.2
1961,AL,109,53,1,5.07,163,6239,5559,827,1461,194,40,240,781,28,18,543,785,.263,.330,.442,.771,124,180,.980,28.4
1960,AL,97,57,1,4.81,155,5982,5290,746,1377,215,40,193,699,37,23,537,818,.260,.329,.426,.755,129,162,.979,28.2
1959,AL,79,75,3,4.43,155,5981,5379,687,1397,224,40,153,651,45,22,457,828,.260,.319,.402,.721,131,160,.978,28.4
1958,AL,92,62,1,4.90,155,5971,5294,759,1418,212,39,164,717,48,32,537,822,.268,.336,.416,.751,128,182,.979,28.0
1957,AL,98,56,1,4.69,154,5993,5271,723,1412,200,54,145,680,49,38,562,709,.268,.339,.409,.747,123,183,.980,28.4
1956,AL,97,57,1,5.56,154,6077,5312,857,1433,193,55,190,788,51,37,615,755,.270,.347,.434,.781,136,214,.977,28.1
1955,AL,96,58,1,4.95,154,5943,5161,762,1342,179,55,175,717,55,25,609,658,.260,.340,.418,.758,128,180,.978,28.0
