Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
2016,AL West,86,76,2,4.74,162,6226,5583,768,1446,251,17,223,735,56,28,506,1288,.259,.326,.430,.756,89,158,.985,30.4
2015,AL West,76,86,4,4.05,162,6131,5544,656,1379,262,22,198,624,69,45,478,1336,.249,.311,.411,.722,94,155,.985,28.6
2014,AL West,87,75,3,3.91,162,5977,5450,634,1328,247,32,136,600,96,42,396,1232,.244,.300,.376,.676,82,139,.986,27.6
2013,AL West,71,91,4,3.85,162,6172,5558,624,1318,249,17,188,597,49,23,529,1353,.237,.306,.390,.695,88,149,.986,28.5
2012,AL West,75,87,4,3.82,162,6057,5494,619,1285,241,27,149,584,104,35,466,1259,.234,.296,.369,.665,72,155,.988,27.1
2011,AL West,67,95,4,3.43,162,5972,5421,556,1263,253,22,109,534,125,40,435,1280,.233,.292,.348,.640,108,152,.982,29.2
2010,AL West,61,101,4,3.17,162,5989,5409,513,1274,227,16,101,485,142,39,459,1184,.236,.298,.339,.637,110,145,.982,29.4
2009,AL West,85,77,3,3.95,162,6113,5543,640,1430,280,19,160,613,89,33,421,1093,.258,.314,.402,.716,105,150,.983,29.8
2008,AL West,61,101,4,4.14,162,6176,5643,671,1498,285,20,124,631,90,32,417,890,.265,.318,.389,.707,99,160,.984,29.6
2007,AL West,88,74,2,4.90,162,6209,5684,794,1629,284,22,153,754,81,30,389,861,.287,.337,.425,.762,90,167,.985,29.8
2006,AL West,78,84,4,4.67,162,6213,5670,756,1540,266,42,172,703,106,37,404,974,.272,.325,.424,.749,88,150,.986,28.6
2005,AL West,69,93,4,4.31,162,6095,5507,699,1408,289,34,130,657,102,47,466,986,.256,.317,.391,.709,86,144,.986,28.9
2004,AL West,63,99,4,4.31,162,6362,5722,698,1544,276,20,136,658,110,42,492,1058,.270,.331,.396,.727,103,140,.983,31.5
2003,AL West,93,69,2,4.91,162,6281,5561,795,1509,290,33,139,759,108,37,586,989,.271,.344,.410,.754,65,159,.989,31.9
2002,AL West,93,69,3,5.02,162,6362,5569,814,1531,285,31,152,771,137,58,629,1003,.275,.350,.419,.769,88,134,.985,31.2
2001,AL West,116,46,1,5.72,162,6474,5680,927,1637,310,38,169,881,174,42,614,989,.288,.360,.445,.805,83,137,.986,31.4
2000,AL West,91,71,2,5.60,162,6444,5497,907,1481,300,26,198,869,122,56,775,1073,.269,.361,.442,.803,99,176,.984,31.2
1999,AL West,79,83,3,5.30,162,6310,5572,859,1499,263,21,244,825,130,45,610,1095,.269,.343,.455,.798,113,182,.982,29.2
1998,AL West,76,85,3,5.34,161,6327,5628,859,1553,321,28,234,822,115,39,558,1081,.276,.345,.468,.812,125,139,.979,29.8
1997,AL West,90,72,1,5.71,162,6385,5614,925,1574,312,21,264,890,89,40,626,1110,.280,.355,.485,.839,126,143,.979,29.4
1996,AL West,85,76,2,6.17,161,6518,5668,993,1625,343,19,245,954,90,39,670,1052,.287,.366,.484,.850,110,155,.982,28.7
1995,AL West,79,66,1,5.49,145,5671,4996,796,1377,276,20,182,767,110,41,549,871,.276,.350,.448,.798,104,108,.981,28.7
1994,AL West,49,63,3,5.08,112,4361,3883,569,1045,211,18,153,549,48,21,372,652,.269,.335,.451,.786,95,102,.978,27.4
1993,AL West,82,80,4,4.53,162,6288,5494,734,1429,272,24,161,681,91,68,624,901,.260,.339,.406,.745,90,173,.985,28.0
1992,AL West,64,98,7,4.19,162,6180,5564,679,1466,278,24,149,638,100,55,474,841,.263,.323,.402,.725,112,170,.982,28.3
1991,AL West,83,79,5,4.33,162,6237,5494,702,1400,268,29,126,665,97,44,588,811,.255,.328,.383,.711,110,187,.983,28.1
1990,AL West,77,85,5,3.95,162,6207,5474,640,1419,251,26,107,610,105,51,596,749,.259,.333,.373,.707,130,152,.979,27.9
1989,AL West,73,89,6,4.28,162,6134,5512,694,1417,237,29,134,653,81,55,489,838,.257,.320,.384,.703,143,168,.977,26.7
1988,AL West,68,93,7,4.12,161,6018,5436,664,1397,271,27,148,617,95,61,461,787,.257,.317,.398,.716,123,168,.980,27.0
1987,AL West,78,84,4,4.69,162,6145,5508,760,1499,282,48,161,717,174,73,500,863,.272,.335,.428,.763,122,150,.980,26.8
1986,AL West,67,95,7,4.43,162,6187,5498,718,1392,243,41,158,681,93,76,572,1148,.253,.326,.399,.724,156,191,.975,26.7
1985,AL West,74,88,6,4.44,162,6185,5521,719,1410,277,38,171,686,94,35,564,942,.255,.326,.412,.738,122,156,.981,26.9
1984,AL West,74,88,5,4.21,162,6216,5546,682,1429,244,34,129,635,116,62,519,871,.258,.324,.384,.708,128,143,.979,27.0
1983,AL West,60,102,7,3.44,162,5907,5336,558,1280,247,31,111,536,144,80,460,840,.240,.301,.360,.661,136,159,.978,26.6
1982,AL West,76,86,4,4.02,162,6181,5626,651,1431,259,33,130,614,131,82,456,806,.254,.311,.381,.692,139,158,.978,27.9
1981,AL West,44,65,6,3.87,110,4201,3780,426,950,148,13,89,406,100,50,329,553,.251,.314,.368,.682,91,122,.979,28.6
1980,AL West,59,103,7,3.74,163,6142,5489,610,1359,211,35,104,564,116,62,483,727,.248,.308,.356,.664,149,189,.977,28.5
1979,AL West,67,95,6,4.39,162,6207,5544,711,1490,250,52,132,676,126,52,515,725,.269,.331,.404,.735,141,170,.978,28.5
1978,AL West,56,104,7,3.84,160,6031,5358,614,1327,229,37,97,571,123,47,522,702,.248,.314,.359,.673,141,174,.978,27.0
1977,AL West,64,98,6,3.85,162,6049,5460,624,1398,218,33,133,589,110,67,426,769,.256,.312,.381,.693,147,162,.977,26.4
