Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
2016,NL East,79,82,3,4.07,161,6132,5547,655,1460,259,42,128,626,71,28,447,1213,.263,.322,.394,.716,86,137,.985,28.3
2015,NL East,71,91,3,3.78,162,5988,5463,613,1420,236,40,120,575,112,45,375,1150,.260,.310,.384,.694,77,162,.987,27.9
2014,NL East,77,85,4,3.98,162,6185,5538,645,1399,254,36,122,614,58,21,501,1419,.253,.317,.378,.694,97,154,.984,27.4
2013,NL East,62,100,5,3.17,162,6021,5449,513,1257,219,31,95,485,78,29,432,1232,.231,.293,.335,.627,88,144,.986,27.7
2012,NL East,69,93,5,3.76,162,6057,5437,609,1327,261,39,137,576,149,41,484,1228,.244,.308,.382,.690,103,154,.983,28.3
2011,NL East,72,90,5,3.86,162,6232,5508,625,1358,274,30,149,596,95,41,542,1244,.247,.318,.388,.706,93,126,.985,27.4
2010,NL East,80,82,3,4.44,162,6194,5531,719,1403,294,37,152,686,92,26,514,1375,.254,.321,.403,.724,123,130,.979,26.9
2009,NL East,87,75,2,4.77,162,6312,5572,772,1493,296,25,159,727,75,35,568,1226,.268,.340,.416,.756,106,129,.982,27.0
2008,NL East,84,77,3,4.78,161,6206,5499,770,1397,302,28,208,741,76,28,543,1371,.254,.326,.433,.759,117,122,.980,28.0
2007,NL East,71,91,5,4.88,162,6344,5627,790,1504,340,38,201,749,105,34,521,1332,.267,.336,.448,.784,137,159,.977,26.7
2006,NL East,78,84,4,4.68,162,6191,5502,758,1454,309,42,182,713,110,58,497,1249,.264,.331,.435,.766,126,166,.979,25.6
2005,NL East,83,79,3,4.43,162,6214,5502,717,1499,306,32,128,678,96,38,512,918,.272,.339,.409,.748,103,177,.983,29.7
2004,NL East,83,79,3,4.43,162,6160,5486,718,1447,275,32,148,677,96,43,499,968,.264,.329,.406,.736,86,153,.986,28.8
2003,NL East,91,71,2,4.64,162,6186,5490,751,1459,292,44,157,709,150,74,515,978,.266,.333,.421,.754,78,162,.987,27.7
2002,NL East,79,83,4,4.31,162,6263,5496,699,1433,280,32,146,653,177,73,595,1130,.261,.337,.403,.740,106,163,.983,28.4
2001,NL East,76,86,4,4.58,162,6184,5542,742,1461,325,30,166,713,89,40,470,1145,.264,.326,.423,.749,103,174,.983,27.3
2000,NL East,79,82,3,4.54,161,6203,5509,731,1441,274,29,160,691,168,55,540,1184,.262,.331,.409,.740,125,144,.980,26.1
1999,NL East,64,98,5,4.27,162,6216,5578,691,1465,266,44,128,655,92,46,479,1145,.263,.325,.395,.719,127,150,.979,25.2
1998,NL East,54,108,5,4.12,162,6228,5558,667,1381,277,36,114,621,115,57,525,1120,.248,.317,.373,.690,129,177,.979,25.4
1997,NL East,92,70,2,4.57,162,6300,5439,740,1410,272,28,136,703,115,58,686,1074,.259,.346,.395,.741,116,167,.981,28.5
1996,NL East,80,82,3,4.25,162,6194,5498,688,1413,240,30,150,650,99,46,553,1122,.257,.329,.393,.722,111,187,.982,27.9
1995,NL East,67,76,4,4.71,143,5569,4886,673,1278,214,29,144,636,131,53,517,916,.262,.335,.406,.741,115,143,.979,28.1
1994,NL East,51,64,5,4.07,115,4387,3926,468,1043,180,24,94,451,65,26,349,746,.266,.330,.396,.725,95,111,.978,27.6
1993,NL East,64,98,6,3.59,162,6127,5475,581,1356,197,31,94,542,117,56,498,1054,.248,.314,.346,.660,125,130,.980,27.7
