Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
2016,NL East,87,75,2,4.14,162,6114,5459,671,1342,240,19,218,649,42,18,517,1302,.246,.316,.417,.733,90,138,.985,29.5
2015,NL East,90,72,1,4.22,162,6145,5527,683,1351,295,17,177,654,51,25,488,1290,.244,.312,.400,.712,88,131,.986,28.6
2014,NL East,79,83,2,3.88,162,6145,5472,629,1306,275,19,125,602,101,34,516,1264,.239,.308,.364,.673,104,158,.983,28.4
2013,NL East,74,88,3,3.82,162,6207,5559,619,1318,263,32,130,593,114,35,512,1384,.237,.306,.366,.672,93,127,.985,28.3
2012,NL East,74,88,4,4.01,162,6091,5450,650,1357,286,21,139,625,79,38,503,1250,.249,.316,.386,.701,101,135,.983,27.9
2011,NL East,77,85,4,4.43,162,6335,5600,718,1477,309,39,108,676,130,35,571,1085,.264,.335,.391,.725,116,126,.981,28.0
2010,NL East,79,83,4,4.05,162,6144,5465,656,1361,266,40,128,625,130,44,502,1095,.249,.314,.383,.697,87,159,.986,28.4
2009,NL East,70,92,4,4.14,162,6159,5453,671,1472,295,49,95,631,122,44,526,928,.270,.335,.394,.729,97,134,.984,29.5
2008,NL East,89,73,2,4.93,162,6388,5606,799,1491,274,38,172,751,138,36,619,1024,.266,.340,.420,.761,83,126,.986,30.1
2007,NL East,88,74,2,4.96,162,6344,5605,804,1543,294,27,177,761,200,46,549,981,.275,.342,.432,.775,101,124,.983,30.8
2006,NL East,97,65,1,5.15,162,6291,5558,834,1469,323,41,200,800,146,35,547,1071,.264,.334,.445,.780,104,131,.983,30.2
2005,NL East,83,79,3,4.46,162,6146,5505,722,1421,279,32,175,683,153,40,486,1075,.258,.322,.416,.738,106,146,.983,28.8
2004,NL East,71,91,4,4.22,162,6209,5532,684,1376,289,20,185,658,107,23,512,1159,.249,.317,.409,.726,137,144,.978,29.8
2003,NL East,66,95,5,3.99,161,6007,5341,642,1317,262,24,124,607,70,31,489,1035,.247,.314,.374,.688,118,158,.980,29.3
2002,NL East,75,86,5,4.29,161,6150,5496,690,1409,238,22,160,650,87,42,486,1044,.256,.322,.395,.717,144,138,.976,30.6
2001,NL East,82,80,3,3.96,162,6156,5459,642,1361,273,18,147,608,66,48,545,1062,.249,.323,.387,.710,101,132,.983,30.5
2000,NL East,94,68,2,4.98,162,6328,5486,807,1445,281,20,198,761,66,46,675,1037,.263,.346,.430,.776,118,121,.981,30.4
1999,NL East,97,66,2,5.23,163,6454,5572,853,1553,297,14,181,814,150,61,717,994,.279,.363,.434,.797,68,147,.989,30.1
1998,NL East,88,74,2,4.36,162,6257,5510,706,1425,289,24,136,671,62,46,572,1049,.259,.330,.394,.724,101,151,.984,28.9
1997,NL East,88,74,3,4.80,162,6248,5524,777,1448,274,28,153,741,97,74,550,1029,.262,.332,.405,.737,120,165,.981,27.3
1996,NL East,71,91,4,4.60,162,6220,5618,746,1515,267,47,147,697,97,48,445,1069,.270,.324,.412,.737,159,163,.974,27.2
1995,NL East,69,75,2,4.56,144,5581,4958,657,1323,218,34,125,617,58,39,446,994,.267,.330,.400,.730,115,125,.979,27.4
1994,NL East,55,58,3,4.48,113,4348,3869,506,966,164,21,117,477,25,26,336,807,.250,.316,.394,.709,89,112,.980,27.8
1993,NL East,59,103,7,4.15,162,6057,5448,672,1350,228,37,158,632,79,50,448,879,.248,.305,.390,.696,156,143,.975,29.4
1992,NL East,72,90,5,3.70,162,6061,5340,599,1254,259,17,93,564,129,52,572,956,.235,.310,.342,.652,116,134,.981,30.0
1991,NL East,77,84,5,3.98,161,6077,5359,640,1305,250,24,117,605,153,70,578,789,.244,.317,.365,.682,143,112,.977,29.1
1990,NL East,91,71,2,4.78,162,6182,5504,775,1410,278,21,172,734,110,33,536,851,.256,.323,.408,.731,132,107,.978,27.5
1989,NL East,87,75,2,4.22,162,6131,5489,683,1351,280,21,147,633,158,53,504,934,.246,.311,.385,.696,144,110,.976,27.5
1988,NL East,100,60,1,4.39,160,6105,5408,703,1387,251,24,152,659,140,51,544,842,.256,.325,.396,.721,115,127,.981,27.8
1987,NL East,92,70,2,5.08,162,6335,5601,823,1499,287,34,192,771,159,49,592,1012,.268,.339,.434,.773,137,137,.978,28.0
1986,NL East,108,54,1,4.83,162,6349,5558,783,1462,261,31,148,730,118,48,631,968,.263,.339,.401,.740,138,145,.978,28.0
1985,NL East,98,64,2,4.29,162,6248,5549,695,1425,239,35,134,651,117,53,546,872,.257,.323,.385,.708,115,138,.982,28.1
1984,NL East,90,72,2,4.02,162,6066,5438,652,1400,235,25,107,607,149,54,500,1001,.257,.320,.369,.689,129,154,.979,27.2
1983,NL East,68,94,6,3.55,162,6009,5444,575,1314,172,26,112,542,141,64,436,1031,.241,.300,.344,.644,151,171,.976,27.7
