Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
2016,AL East,68,94,5,4.15,162,6045,5481,672,1333,288,32,216,647,60,37,449,1482,.243,.307,.426,.733,94,129,.984,27.7
2015,AL East,80,82,4,3.98,162,6071,5485,644,1383,278,32,167,612,87,45,436,1310,.252,.314,.406,.720,95,118,.984,28.4
2014,AL East,77,85,4,3.78,162,6205,5516,612,1361,263,24,117,586,63,27,527,1124,.247,.317,.367,.684,88,96,.985,29.3
2013,AL East,92,71,2,4.29,163,6242,5538,700,1421,296,23,165,670,73,38,589,1171,.257,.329,.408,.737,59,147,.990,29.6
2012,AL East,90,72,3,4.30,162,6105,5398,697,1293,250,30,175,665,134,44,571,1323,.240,.317,.394,.711,114,155,.981,29.7
2011,AL East,91,71,2,4.36,162,6152,5436,707,1324,273,37,172,674,155,62,571,1193,.244,.322,.402,.724,73,138,.988,28.3
2010,AL East,96,66,1,4.95,162,6270,5439,802,1343,295,37,160,769,172,47,672,1292,.247,.333,.403,.736,85,134,.986,27.7
2009,AL East,84,78,3,4.96,162,6223,5462,803,1434,297,36,199,765,194,61,642,1229,.263,.343,.439,.782,98,135,.983,28.0
2008,AL East,97,65,1,4.78,162,6312,5541,774,1443,284,37,180,735,142,50,626,1224,.260,.340,.422,.762,90,153,.985,27.2
2007,AL East,66,96,5,4.83,162,6280,5593,782,1500,291,36,187,750,131,48,545,1324,.268,.336,.433,.769,117,155,.980,26.1
2006,AL East,61,101,5,4.25,162,6041,5474,689,1395,267,33,190,650,134,52,441,1106,.255,.314,.420,.733,116,156,.981,27.3
2005,AL East,67,95,5,4.63,162,6120,5552,750,1519,289,40,157,717,151,49,412,990,.274,.329,.425,.754,124,139,.979,27.5
2004,AL East,70,91,4,4.43,161,6098,5483,714,1416,278,46,145,685,132,42,469,944,.258,.320,.405,.725,119,139,.980,28.1
2003,AL East,63,99,5,4.41,162,6212,5654,715,1501,298,38,137,678,142,42,420,1030,.265,.320,.404,.724,103,158,.983,26.4
2002,AL East,55,106,5,4.18,161,6198,5604,673,1418,297,35,133,640,102,45,456,1115,.253,.314,.390,.704,126,168,.979,27.0
2001,AL East,62,100,5,4.15,162,6104,5524,672,1426,311,21,121,645,115,52,456,1116,.258,.320,.388,.707,139,144,.977,28.0
2000,AL East,69,92,5,4.55,161,6206,5505,733,1414,253,22,162,692,90,46,558,1022,.257,.329,.399,.728,118,169,.981,30.1
1999,AL East,69,93,5,4.77,162,6272,5586,772,1531,272,29,145,728,73,49,544,1042,.274,.343,.411,.754,135,198,.978,30.1
1998,AL East,63,99,5,3.83,162,6157,5555,620,1450,267,43,111,579,120,73,473,1107,.261,.321,.385,.706,94,178,.985,29.0
